message_technology,reg_diff_source,reg_diff_technology,base_year_reference_region_cost,fix_ratio
furnace_elec_petro,energy,elec_i,,0.271
furnace_elec_refining,energy,elec_i,,0.271
furnace_elec_resins,energy,elec_i,,0.271
furnace_elec_steel,energy,elec_i,,0.271
furnace_ethanol_aluminum,energy,eth_i,,0.165
furnace_ethanol_cement,energy,eth_i,,0.165
furnace_ethanol_petro,energy,eth_i,,0.165
furnace_ethanol_refining,energy,eth_i,,0.165
furnace_ethanol_resins,energy,eth_i,,0.165
furnace_ethanol_steel,energy,eth_i,,0.165
furnace_foil_aluminum,energy,foil_i,,0.316
furnace_foil_cement,energy,foil_i,,0.316
furnace_foil_petro,energy,foil_i,,0.316
furnace_foil_refining,energy,foil_i,,0.316
furnace_foil_resins,energy,foil_i,,0.316
furnace_foil_steel,energy,foil_i,,0.316
furnace_gas_aluminum,energy,gas_i,,0.209
furnace_gas_cement,energy,gas_i,,0.209
furnace_gas_petro,energy,gas_i,,0.209
furnace_gas_refining,energy,gas_i,,0.209
furnace_gas_resins,energy,gas_i,,0.209
furnace_gas_steel,energy,gas_i,,0.209
furnace_h2_aluminum,energy,h2_i,,0.209
furnace_h2_cement,energy,h2_i,,0.209
furnace_h2_petro,energy,h2_i,,0.209
furnace_h2_refining,energy,h2_i,,0.209
furnace_h2_resins,energy,h2_i,,0.209
furnace_h2_steel,energy,h2_i,,0.209
furnace_loil_aluminum,energy,loil_i,,0.218
furnace_loil_cement,energy,loil_i,,0.218
furnace_loil_petro,energy,loil_i,,0.218
furnace_loil_refining,energy,loil_i,,0.218
furnace_loil_resins,energy,loil_i,,0.218
furnace_loil_steel,energy,loil_i,,0.218
furnace_methanol_aluminum,energy,meth_i,,0.165
furnace_methanol_cement,energy,meth_i,,0.165
furnace_methanol_petro,energy,meth_i,,0.165
furnace_methanol_refining,energy,meth_i,,0.165
furnace_methanol_resins,energy,meth_i,,0.165
furnace_methanol_steel,energy,meth_i,,0.165
gas_NH3,energy,igcc,2188.174399,0.036
gas_NH3_ccs,energy,igcc_ccs,2935.967579,0.038
gas_processing_petro,,,,
grinding_ballmill_cement,,,,0.001
grinding_vertmill_cement,,,,0.001
hp_elec_aluminum,energy,hp_el_i,,0.152
hp_elec_cement,energy,hp_el_i,,0.152
hp_elec_petro,energy,hp_el_i,,0.152
hp_elec_refining,energy,hp_el_i,,0.152
hp_elec_resins,energy,hp_el_i,,0.152
hp_elec_steel,energy,hp_el_i,,0.152
hp_gas_aluminum,energy,hp_gas_i,,0.138
hp_gas_cement,energy,hp_gas_i,,0.138
hp_gas_petro,energy,hp_gas_i,,0.138
hp_gas_refining,energy,hp_gas_i,,0.138
hp_gas_resins,energy,hp_gas_i,,0.138
hp_gas_steel,energy,hp_gas_i,,0.138
hydro_cracking_ref,,,213.7565143,0.021
hydrotreating_ref,,,,
import_NFert,,,,
import_NH3,,,,
import_aluminum,,,,
import_petro,,,,
import_steel,,,,
manuf_aluminum,,,,
manuf_steel,,,,0
meth_bal,,,,
meth_bio,energy,meth_coal,2407.596309,0.034
meth_bio_ccs,energy,meth_coal,2503.380896,0.037
meth_coal,energy,meth_coal,2348.41,0.034
meth_coal_ccs,energy,meth_coal,1234.63,0.042
meth_exp,,,235,0
meth_h2,intratec,,187.2054389,0.109
meth_imp,,,,
meth_ng,energy,meth_ng,350,0.022
meth_ng_ccs,energy,meth_ng,500,0.023
meth_t_d,,,,
meth_t_d_material,,,,
meth_trd,,,,
other_EOL_aluminum,,,,
other_EOL_cement,,,,
other_EOL_steel,,,,
pellet_steel,,,,0.1
prebake_aluminum,,,4081.28,0.118
prep_secondary_aluminum_1,,,,
prep_secondary_aluminum_2,,,,
prep_secondary_aluminum_3,,,,
prep_secondary_steel_1,,,,
prep_secondary_steel_2,,,,
prep_secondary_steel_3,,,,
production_HVC,,,,
raw_meal_prep_cement,,,,0.001
residual_NH3,,,,
scrap_recovery_aluminum,,,,
scrap_recovery_cement,,,,
scrap_recovery_steel,,,,
secondary_aluminum,,,,
sinter_steel,,,,0.1
soderberg_aluminum,,,3060.96,0.157
solar_aluminum,energy,solar_i,,0.055
solar_cement,energy,solar_i,,0.055
solar_petro,energy,solar_i,,0.055
solar_refining,energy,solar_i,,0.055
solar_resins,energy,solar_i,,0.055
solar_steel,energy,solar_i,,0.055
steam_cracker_petro,,,1003.41,0.025
total_EOL_aluminum,,,,
total_EOL_cement,,,,
total_EOL_steel,,,,
trade_NFert,,,,
trade_NH3,,,,
trade_aluminum,,,,
trade_petro,,,,
trade_steel,,,,
vacuum_distillation_ref,,,4081.28,0.02
visbreaker_ref,,,55.47582857,0.021
