Region,technology,parameter,Unit,value,availability,Description,Source
all,furnace_gas_steel,input|gas|final|low_temp,GWa,1.66,1980,The efficiency is used as a basis of calcualtion for other furnaces. 60% efficiency chosen,JRC report for aluminum. Furnace efficiencies between: 20% - 60%. https://publications.jrc.ec.europa.eu/repository/handle/JRC96680
all,furnace_loil_steel,input|lightoil|final|low_temp,GWa,1.8710369318181819,1980, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,furnace_h2_steel,input|hydrogen|final|high_temp,GWa,1.293841598815692,2030, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,furnace_loil_steel,input|lightoil|final|high_temp,GWa,1.8710369318181819,1980, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,furnace_methanol_steel,input|methanol|final|low_temp,GWa,1.4925852272727271,2020, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,furnace_methanol_steel,input|methanol|final|high_temp,GWa,1.4925852272727271,2020, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,hp_elec_steel,input|electr|final|low_temp,GWa,0.333,1980,,MESSAGE Global model
all,furnace_h2_steel,input|hydrogen|final|low_temp,GWa,1.293841598815692,2030, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,dheat_steel,inv_cost,MUS2005/GW,27.69,1980,,MESSAGE global model
all,fc_h2_steel,inv_cost,MUS2005/GW,1909.0,2030,,MESSAGE global model
all,furnace_biomass_steel,inv_cost,MUS2005/GW,195.47333333333333,1980,average of 12 regions in 2020,MESSAGE global model
all,furnace_coal_steel,inv_cost,MUS2005/GW,94.15,1980,,MESSAGE global model
all,furnace_elec_steel,inv_cost,MUS2005/GW,27.69,1980,,MESSAGE global model
all,furnace_gas_steel,inv_cost,MUS2005/GW,53.72,1980,,MESSAGE global model
all,furnace_ethanol_steel,inv_cost,MUS2005/GW,57.41,1980,,MESSAGE global model
all,furnace_foil_steel,inv_cost,MUS2005/GW,59.26,1980,,MESSAGE global model
all,furnace_h2_steel,inv_cost,MUS2005/GW,53.72,2030,,MESSAGE global model
all,furnace_loil_steel,inv_cost,MUS2005/GW,51.51,1980,,MESSAGE global model
all,furnace_methanol_steel,inv_cost,MUS2005/GW,57.4099999999999,2020,,MESSAGE global model
all,hp_elec_steel,inv_cost,MUS2005/GW,443.08,1980,,MESSAGE global model
all,solar_steel,inv_cost,MUS2005/GW,415.679999999996,1980,,MESSAGE global model
all,furnace_biomass_steel,output|ht_heat|useful_steel|high_temp,GWa,1.0,1980,,
all,furnace_coal_steel,output|ht_heat|useful_steel|high_temp,GWa,1.0,1980,,
all,furnace_elec_steel,output|ht_heat|useful_steel|high_temp,GWa,1.0,1980,,
all,furnace_ethanol_steel,output|ht_heat|useful_steel|high_temp,GWa,1.0,1980,,
all,furnace_foil_steel,output|ht_heat|useful_steel|high_temp,GWa,1.0,1980,,
all,furnace_h2_steel,output|ht_heat|useful_steel|high_temp,GWa,1.0,2030,,
all,furnace_loil_steel,output|ht_heat|useful_steel|high_temp,GWa,1.0,1980,,
all,furnace_methanol_steel,output|ht_heat|useful_steel|high_temp,GWa,1.0,2020,,
all,furnace_gas_steel,output|ht_heat|useful_steel|high_temp,GWa,1.0,1980,,
all,dheat_steel,output|lt_heat|useful_steel|low_temp,GWa,1.0,1980,,
all,fc_h2_steel,output|lt_heat|useful_steel|low_temp,GWa,1.0,2030,,
all,furnace_biomass_steel,output|lt_heat|useful_steel|low_temp,GWa,1.0,1980,,
all,furnace_coal_steel,output|lt_heat|useful_steel|low_temp,GWa,1.0,1980,,
all,furnace_elec_steel,output|lt_heat|useful_steel|low_temp,GWa,1.0,1980,,
all,furnace_ethanol_steel,output|lt_heat|useful_steel|low_temp,GWa,1.0,1980,,
all,furnace_foil_steel,output|lt_heat|useful_steel|low_temp,GWa,1.0,1980,,
all,furnace_h2_steel,output|lt_heat|useful_steel|low_temp,GWa,1.0,2030,,
all,furnace_loil_steel,output|lt_heat|useful_steel|low_temp,GWa,1.0,1980,,
all,furnace_methanol_steel,output|lt_heat|useful_steel|low_temp,GWa,1.0,2020,,
all,hp_elec_steel,output|lt_heat|useful_steel|low_temp,GWa,1.0,1980,,
all,solar_steel,output|lt_heat|useful_steel|low_temp,GWa,1.0,1980,,
all,furnace_gas_steel,output|lt_heat|useful_steel|low_temp,GWa,1.0,1980,,
all,fc_h2_steel,technical_lifetime,yr,10.0,2030,,MESSAGE Global model
all,solar_steel,technical_lifetime,yr,15.0,1980,,MESSAGE Global model
all,dheat_steel,technical_lifetime,yr,20.0,1980,,MESSAGE Global model
all,furnace_elec_steel,technical_lifetime,yr,20.0,1980,,MESSAGE Global model
all,hp_elec_steel,technical_lifetime,yr,20.0,1980,,MESSAGE Global model
all,furnace_biomass_steel,technical_lifetime,yr,25.0,1980,,MESSAGE Global model
all,furnace_coal_steel,technical_lifetime,yr,25.0,1980,,MESSAGE Global model
all,furnace_ethanol_steel,technical_lifetime,yr,25.0,1980,,MESSAGE Global model
all,furnace_foil_steel,technical_lifetime,yr,25.0,1980,,MESSAGE Global model
all,furnace_h2_steel,technical_lifetime,yr,25.0,2030,,MESSAGE Global model
all,furnace_loil_steel,technical_lifetime,yr,25.0,1980,,MESSAGE Global model
all,furnace_methanol_steel,technical_lifetime,yr,25.0,2020,,MESSAGE Global model
all,furnace_gas_steel,technical_lifetime,yr,25.0,1980,,MESSAGE Global model
