Region,technology,parameter,Unit,value,availability,Description,Source,Unnamed: 8
R11_CPA,catalytic_reforming_ref,input|naphtha|desulfurized|M1,GWyr/GWyr,1.0,1980.0,,IKARUS,
R11_CPA,catalytic_reforming_ref,input|ht_heat|secondary|M1,GWyr/GWyr,0.07115,1980.0,,IKARUS,
R11_CPA,catalytic_reforming_ref,output|gasoline|intermediate|M1,GWyr/GWyr,0.80921,1980.0,"some part of the reformate is blened in gasoline, some is used in BTX production later. This share can be found..? We can decrease gasoline share and add the BTX share...",IKARUS,
R11_CPA,catalytic_reforming_ref,output|refinery_gas|intermediate|M1,GWyr/GWyr,0.12198,1980.0,,IKARUS,
R11_CPA,catalytic_reforming_ref,output|hydrogen|final|M1,GWyr/GWyr,0.06876,1980.0,,IKARUS ,
R11_CPA,hydro_cracking_ref,input|vacuum_gasoil|desulfurized|cracking_gasoline,GWyr/GWyr,1.0,1980.0,,IKARUS ,
R11_CPA,hydro_cracking_ref,input|ht_heat|secondary|cracking_gasoline,GWyr/GWyr,0.04289,1980.0,,IKARUS ,
R11_CPA,hydro_cracking_ref,input|hydrogen|secondary|cracking_gasoline,GWyr/GWyr,0.108,1980.0,,IKARUS ,
R11_CPA,hydro_cracking_ref,output|gasoline|intermediate|cracking_gasoline,GWyr/GWyr,0.248,1980.0,,IKARUS ,
R11_CPA,hydro_cracking_ref,output|refinery_gas|intermediate|cracking_gasoline,GWyr/GWyr,0.175,1980.0,,IKARUS ,
R11_CPA,hydro_cracking_ref,output|naphtha|intermediate|cracking_gasoline,GWyr/GWyr,0.68,1980.0,,IKARUS ,
R11_CPA,hydro_cracking_ref,input|vacuum_gasoil|desulfurized|cracking_loil,GWyr/GWyr,1.0,1980.0,,IKARUS ,
R11_CPA,hydro_cracking_ref,input|ht_heat|secondary|cracking_loil,GWyr/GWyr,0.03191,1980.0,,IKARUS ,
R11_CPA,hydro_cracking_ref,input|hydrogen|secondary|cracking_loil,GWyr/GWyr,0.07901,1980.0,,IKARUS ,
R11_CPA,hydro_cracking_ref,output|light_foil|intermediate|cracking_loil,GWyr/GWyr,0.77,1980.0,,IKARUS,
R11_CPA,hydro_cracking_ref,output|refinery_gas|intermediate|cracking_loil,GWyr/GWyr,0.08,1980.0,,IKARUS,
R11_CPA,hydro_cracking_ref,output|naphtha|intermediate|cracking_loil,GWyr/GWyr,0.15,1980.0,,IKARUS,
R11_CPA,steam_cracker_petro,input|atm_gasoil|final|atm_gasoil,GWyr/Mt output,1.4351598173515978,1980.0,Energy content of 1 ton of crude oil = 44.9 GJ ,http://w.astro.berkeley.edu/~wright/fuel_energy.html,
R11_CPA,steam_cracker_petro,input|vacuum_gasoil|final|vacuum_gasoil,GWyr/Mt output,1.4351598173515978,1980.0,,,
R11_CPA,steam_cracker_petro,input|naphtha|final|naphtha,GWyr/Mt output,1.537442922374429,1980.0,Energy content of 1 ton of naphtha = 48.1 GJ ,,
R11_CPA,steam_cracker_petro,input|ethane|secondary_material|ethane,Mt ethane/Mt ethylene,1.0,1980.0,,,
R11_CPA,steam_cracker_petro,input|propane|secondary_material|propane,Mt propane/Mt propylene,1.0,1980.0,,,
R11_CPA,steam_cracker_petro,input|ht_heat|useful_petro|atm_gasoil,GWyr/Mt ethylene,0.20776255707762556,1980.0,"multiplied by the ethylene output, as heat is defined per ton ethylene",,
R11_CPA,steam_cracker_petro,input|ht_heat|useful_petro|vacuum_gasoil,GWyr/Mt ethylene,0.20776255707762556,1980.0,,,
R11_CPA,steam_cracker_petro,input|ht_heat|useful_petro|naphtha,GWyr/Mt ethylene,0.20776255707762556,1980.0,15 to 50 GJ / ton etilen,Petrokimya klavuzu - TC Şehircilik ve Çevre Bakanlığı,
R11_CPA,steam_cracker_petro,input|ht_heat|useful_petro|ethane,GWyr/Mt ethylene,0.8310502283105022,1980.0,Gases require more energy than naphtha. (This is already the case as more ethylene is produced in this process more themal energy will be required...),,
R11_CPA,steam_cracker_petro,input|ht_heat|useful_petro|propane,GWyr/Mt propylene,0.46746575342465746,1980.0,,,
R11_CPA,steam_cracker_petro,input|electr|final|naphtha,GWyr/Mt ethylene,0.001917808219178082,1980.0,0.3 GJ/t ethylene,IEA Energy Transition Technologies for Industry ,
R11_CPA,steam_cracker_petro,input|electr|final|vacuum_gasoil,GWyr/Mt ethylene,0.001917808219178082,1980.0,Same assumed for the other modes. But this might not be the case.,,
R11_CPA,steam_cracker_petro,input|electr|final|atm_gasoil,GWyr/Mt ethylene,0.001917808219178082,1980.0,,,
R11_CPA,steam_cracker_petro,input|electr|final|ethane,GWyr/Mt ethylene,0.007671232876712328,1980.0,"multiplied by the ethylene output, as it is defined per ton ethylene",,
R11_CPA,steam_cracker_petro,input|electr|final|propane,GWyr/Mt ethylene,0.004315068493150684,1980.0,"multiplied by the ethylene output, as it is defined per ton ethylene",,
R11_CPA,steam_cracker_petro,output|ethylene|final_material|naphtha,Mt/Mt,0.2,1980.0,"1 t naphtha yields 0.6 t of a more balanced mix of ethylene, propylene and BTX aromatics",IEA Energy Technology Perspectives 2020,
R11_CPA,steam_cracker_petro,output|propylene|final_material|naphtha,Mt/Mt,0.2,1980.0,,,
R11_CPA,steam_cracker_petro,output|BTX|final_material|naphtha,Mt/Mt,0.2,1980.0,,,
R11_CPA,steam_cracker_petro,output|ethylene|final_material|atm_gasoil,Mt/Mt,0.2,1980.0,,,
R11_CPA,steam_cracker_petro,output|ethylene|final_material|vacuum_gasoil,Mt/Mt,0.2,1980.0,Assume the same with naphtha for now,,
R11_CPA,steam_cracker_petro,output|propylene|final_material|atm_gasoil,Mt/Mt,0.2,1980.0,,,
R11_CPA,steam_cracker_petro,output|propylene|final_material|vacuum_gasoil,Mt/Mt,0.2,1980.0,,,
R11_CPA,steam_cracker_petro,output|BTX|final_material|atm_gasoil,Mt/Mt,0.2,1980.0,,,
R11_CPA,steam_cracker_petro,output|BTX|final_material|vacuum_gasoil,Mt/Mt,0.2,1980.0,,,
R11_CPA,steam_cracker_petro,output|ethylene|final_material|ethane,Mt/Mt,0.8,1980.0,"1 t of ethane can yield around 0.8 t of high-value chemicals (nearly all ethylene),","IEA New Tech Perspectives 2020, ",
R11_CPA,steam_cracker_petro,output|propylene|final_material|propane,Mt/Mt,0.15,1980.0,,https://link.springer.com/article/10.1007/s13203-015-0104-3/tables/1,
R11_CPA,ethanol_to_ethylene_petro,input|ethanol|final|M1,GWyr/Mt,1.4685371344572464,1980.0,"One tonne of bioethylene requires 1.74 tonnes of (hydrated) bio-ethanol (Kochar et al., 1981). Energy content of bioethanol: 21.1 MJ/L. 1 liter ethanol = 789 grams", IEA ETSAP,
R11_CPA,ethanol_to_ethylene_petro,input|ht_heat|useful_petro|M1,GWyr/Mt,0.05114155251141553,1980.0,The reaction is endothermic and requires a minimum theoretical energy use of 1.6 gigajoules (GJ) per tonne of bio-ethylene., IEA ETSAP,
R11_CPA,ethanol_to_ethylene_petro,output|ethylene|final_material|M1,Mt/Mt,1.0,1980.0,,,
R11_CPA,atm_distillation_ref,emission_factor|CO2|M1,MtC/GWyr,0.0,1980.0,,IKARUS,
R11_CPA,vacuum_distillation_ref,emission_factor|CO2|M1,MtC/GWyr,0.0,1980.0,,IKARUS,
R11_CPA,catalytic_cracking_ref,emission_factor|CO2|atm_gasoil,MtC/GWyr,0.035518939276257724,1980.0,"153.135153958127 kg/m3 throughput. 1m3 oil = 10.3 MWh. There are other GHG emission factors in PRELIM, but how important they are ?",PRELIM,
R11_CPA,catalytic_cracking_ref,emission_factor|CO2|vacuum_gasoil,MtC/GWyr,0.035518939276257724,,,,
R11_CPA,catalytic_cracking_ref,emission_factor|SO2|atm_gasoil,Kt/GWyr,0.024153786407766994,,,,
R11_CPA,catalytic_cracking_ref,emission_factor|SO2|vacuum_gasoil,Kt/GWyr,0.024153786407766994,1980.0,0.028474417385146354,PRELIM,
R11_CPA,visbreaker_ref,emission_factor|CO2|M1,Kt/GWyr,0.0,1980.0,,IKARUS,
R11_CPA,coking_ref,emission_factor|CO2|M1,MtC/GWyr,0.00022360035304501321,1980.0,0.9640012852230613,PRELIM,
R11_CPA,catalytic_reforming_ref,emission_factor|CO2|M1,MtC/GWyr,7.657152338923214e-05,1980.0,0.3301218417934573,PRELIM,
R11_CPA,catalytic_reforming_ref,emission_factor|SO2|M1,Kt/GWyr,5.6398480289527006e-05,1980.0,6.63132816189644e-05,PRELIM,
R11_CPA,hydro_cracking_ref,emission_factor|CO2|cracking_gasoline,MtC/GWyr,0.0,1980.0,,IKARUS,
R11_CPA,hydro_cracking_ref,emission_factor|CO2|cracking_loil,MtC/GWyr,0.0,1980.0,,IKARUS,
R11_CPA,hydrotreating_ref,emission_factor|CO2|atm_gasoil,MtC/GWyr,4.6390114739629305e-05,1980.0,0.2,PRELIM,
R11_CPA,hydrotreating_ref,emission_factor|CO2|vacuum_gasoil,MtC/GWyr,4.6390114739629305e-05,1980.0,0.2,PRELIM,
R11_CPA,hydrotreating_ref,emission_factor|CO2|kerosene,MtC/GWyr,4.6390114739629305e-05,1980.0,0.2,PRELIM,
R11_CPA,hydrotreating_ref,emission_factor|CO2|diesel,MtC/GWyr,4.6390114739629305e-05,1980.0,0.2,PRELIM,
R11_CPA,hydrotreating_ref,emission_factor|CO2|naphtha,MtC/GWyr,4.6390114739629305e-05,1980.0,0.2,PRELIM,
R11_CPA,hydrotreating_ref,emission_factor|SO2|atm_gasoil,MtC/GWyr,3.4251763427590533e-07,1980.0,0.000402731921580117,PRELIM,
R11_CPA,hydrotreating_ref,emission_factor|SO2|vacuum_gasoil,Kt/GWyr,0.0003425176342759053,1980.0,0.000402731921580117,PRELIM,
R11_CPA,hydrotreating_ref,emission_factor|SO2|kerosene,Kt/GWyr,0.0003425176342759053,1980.0,0.000402731921580117,PRELIM,
R11_CPA,hydrotreating_ref,emission_factor|SO2|diesel,Kt/GWyr,0.0003425176342759053,1980.0,0.000402731921580117,PRELIM,
R11_CPA,hydrotreating_ref,emission_factor|SO2|naphtha,Kt/GWyr,0.0003425176342759053,1980.0,0.000402731921580117,PRELIM,
R11_CPA,atm_distillation_ref,inv_cost,MUS2005/GWyr,30.25954285714285,1980.0,Indonesia 20k$/b/d. For Medium capacity: 150 kb/d. Distrubuted according to IKARUS shares. 1 boe = 1.6282 MWh. 20k$/boe/d = (20 * 10^-33) * 8760 / (1.6282 * 10^-3) ,IEA ETSAP (4378.23270952744) / IKARUS (30.2595428571429),
R11_CPA,vacuum_distillation_ref,inv_cost,MUS2005/GWyr,21.996359999999996,1980.0,,IEA ETSAP (3182.63839269495) / IKARUS ,
R11_CPA,catalytic_cracking_ref,inv_cost,MUS2005/GWyr,181.5572571428571,1980.0,,IEA ETSAP (26269.3962571646) / IKARUS ,
R11_CPA,visbreaker_ref,inv_cost,MUS2005/GWyr,55.475828571428565,1980.0,,IEA ETSAP (28026.75996746698) / IKARUS ,
R11_CPA,coking_ref,inv_cost,MUS2005/GWyr,235.48131428571432,1980.0,,IEA ETSAP (34071.6314702969) / IKARUS ,
R11_CPA,catalytic_reforming_ref,inv_cost,MUS2005/GWyr,181.5572571428571,1980.0,same share assumed with catalytic cracking,IEA ETSAP (746.544808163013) / IKARUS (assumed same with cracking),
R11_CPA,hydro_cracking_ref,inv_cost,MUS2005/GWyr,213.7565142857143,1980.0,,IEA ETSAP (30928.2849096105) / IKARUS (assumed same with cracking),
R11_CPA,steam_cracker_petro,inv_cost,MUS2005/Mton,2057.0,1980.0,for naphtha cracking (see the source for other feedstock),Future of petrochemicals,
R11_CPA,ethanol_to_ethylene_petro,inv_cost,MUS2005/Mton,1400.0,1980.0," the capital costs for bio-ethylene production range between USD 1,100 and 1,400 per tonne.",IEA ETSAP,
R11_CPA,atm_distillation_ref,fix_cost,MUS2005/GWyr,0.6310580529446697,1980.0,"3.00 US$/barrel for Asia,  average operating costs, excluding depreciation and amortization and energy costs:",,
R11_CPA,vacuum_distillation_ref,fix_cost,MUS2005/GWyr,0.44767366149066307,1980.0,,,
R11_CPA,catalytic_cracking_ref,fix_cost,MUS2005/GWyr,3.9373707576889645,1980.0,,,
R11_CPA,visbreaker_ref,fix_cost,MUS2005/GWyr,1.1596365930179828,1980.0,,,
R11_CPA,coking_ref,fix_cost,MUS2005/GWyr,4.908229300680764,1980.0,,,
R11_CPA,catalytic_reforming_ref,fix_cost,MUS2005/GWyr,0.5977971584162469,1980.0,,,
R11_CPA,hydro_cracking_ref,fix_cost,MUS2005/GWyr,4.458757752999375,1980.0,,,
R11_CPA,steam_cracker_petro,fix_cost,MUS2005/Mton,51.425000000000004,1980.0,Future of petrochemicals,"816 EUR/t of ethylene and propylene in the case of steam cracking. feedstock, credits due to valuable co-products, electricity, thermal energy, other materials (chemicals and catalysts) and labour and others (salaries, maintenance costs, property tax etc.).https://www.sciencedirect.com/science/article/pii/S136403211600229X",
R11_CPA,ethanol_to_ethylene_petro,fix_cost,MUS2005/Mton,35.0,1980.0,"Chinese production based on sweet sorghum is estimated at about USD 1,700/t. This is more like a variable cost...But this also includes bio-ethanol.... In turn, the bio-ethanol cost accounts for about 60-75% of the bioethylene production cost, depending on the region (65% on average). Bioethanol cost",,
R11_CPA,atm_distillation_ref,var_cost|M1,MUS2005/GWyr,0.6359696177142857,1980.0,0.0171 Euro/GJ. Assumed same for China,IKARUS,
R11_CPA,vacuum_distillation_ref,var_cost|M1,MUS2005/GWyr,0.4611709508571428,1980.0,0.0124 EUR/GJ,IKARUS,
R11_CPA,catalytic_cracking_ref,var_cost|atm_gasoil,MUS2005/GWyr,5.058003977142857,,,,
R11_CPA,catalytic_cracking_ref,var_cost|vacuum_gasoil,MUS2005/GWyr,5.058003977142857,1980.0,0.136 EUR/GJ,IKARUS,
R11_CPA,visbreaker_ref,var_cost|M1,MUS2005/GWyr,0.5058003977142858,1980.0,0.0316 EUR/GJ,IKARUS,
R11_CPA,coking_ref,var_cost|M1,MUS2005/GWyr,4.983621565714286,1980.0,0.134 EUR/GJ,IKARUS,
R11_CPA,catalytic_reforming_ref,var_cost|M1,MUS2005/GWyr,2.7744639462857146,1980.0,0.0746 EUR/GJ,IKARUS,
R11_CPA,hydro_cracking_ref,var_cost|cracking_gasoline,MUS2005/GWyr,4.537327097142857,1980.0,0.122 EUR/GJ,IKARUS,
R11_CPA,hydro_cracking_ref,var_cost|cracking_loil,MUS2005/GWyr,4.537327097142857,1980.0,0.122 EUR/GJ,IKARUS,
R11_CPA,atm_distillation_ref,capacity_factor,-,0.95,1980.0,,IKARUS,
R11_CPA,vacuum_distillation_ref,capacity_factor,-,0.95,1980.0,,IKARUS,
R11_CPA,catalytic_cracking_ref,capacity_factor,-,0.95,1980.0,,IKARUS,
R11_CPA,visbreaker_ref,capacity_factor,-,0.95,1980.0,,IKARUS,
R11_CPA,coking_ref,capacity_factor,-,0.95,1980.0,,IKARUS,
R11_CPA,catalytic_reforming_ref,capacity_factor,-,0.95,1980.0,,IKARUS,
R11_CPA,hydro_cracking_ref,capacity_factor,-,0.95,1980.0,,IKARUS,
R11_CPA,steam_cracker_petro,capacity_factor,-,0.9,1980.0,,,
R11_CPA,ethanol_to_ethylene_petro,capacity_factor,-,0.96,1980.0,"A preliminary economic analysis was carried out assuming 8406 h/year (96%) of operating hours,","Etilene, Dresda2019",
R11_CPA,atm_distillation_ref,technical_lifetime,yr,40.0,1980.0,,IKARUS,
R11_CPA,vacuum_distillation_ref,technical_lifetime,yr,40.0,1980.0,,IKARUS,
R11_CPA,catalytic_cracking_ref,technical_lifetime,yr,40.0,1980.0,,IKARUS,
R11_CPA,visbreaker_ref,technical_lifetime,yr,40.0,1980.0,,IKARUS,
R11_CPA,coking_ref,technical_lifetime,yr,40.0,1980.0,,IKARUS,
R11_CPA,catalytic_reforming_ref,technical_lifetime,yr,40.0,1980.0,,IKARUS,
R11_CPA,hydro_cracking_ref,technical_lifetime,yr,40.0,1980.0,,IKARUS,
R11_CPA,steam_cracker_petro,technical_lifetime,yr,30.0,1980.0,,IEA Technology Perspectives 2020,
R11_CPA,ethanol_to_ethylene_petro,technical_lifetime,yr,20.0,1980.0,,"Etilene, Dresda2019",
R11_CPA,ethanol_to_ethylene_petro,emission_factor|CO2|M1,MtC/Mt,0.0818181818181818,1980.0,,Energy Technology Transitions for Industry,
R11_CPA,agg_ref,input|naphtha|intermediate|naphtha,GWyr/GWyr,1.0,1980.0,,,
R11_CPA,agg_ref,input|gasoline|intermediate|gasoline,GWyr/GWyr,1.0,1980.0,,,
R11_CPA,agg_ref,input|light_foil|intermediate|light_foil,GWyr/GWyr,1.0,1980.0,,,
R11_CPA,agg_ref,input|ethane|secondary_material|ethane,GWyr/GWyr,1.0,1980.0,,,
R11_CPA,agg_ref,input|kerosene|desulfurized|kerosene,GWyr/GWyr,1.0,1980.0,,,
R11_CPA,agg_ref,input|diesel|desulfurized|diesel,GWyr/GWyr,1.0,1980.0,,,
R11_CPA,agg_ref,input|refinery_gas|intermediate|refinery_gas,GWyr/GWyr,1.0,1980.0,,,
R11_CPA,agg_ref,input|refinery_gas|pre_intermediate|refinery_gas_int,GWyr/GWyr,1.0,1980.0,,,
R11_CPA,agg_ref,output|lightoil|secondary|naphtha,GWyr/GWyr,1.0,1980.0,,,
R11_CPA,agg_ref,output|lightoil|secondary|gasoline,GWyr/GWyr,1.0,1980.0,,,
R11_CPA,agg_ref,output|lightoil|secondary|light_foil,GWyr/GWyr,1.0,1980.0,,,
R11_CPA,agg_ref,output|lightoil|secondary|ethane,Mt/GWyr,0.7508571428571369,1980.0,We can assume the energy content of ethane same as natural gas: 42-55 MJ/kg,,
R11_CPA,agg_ref,output|lightoil|secondary|kerosene,GWyr/GWyr,1.0,1980.0,,,
R11_CPA,agg_ref,output|lightoil|secondary|diesel,GWyr/GWyr,1.0,1980.0,,,
R11_CPA,agg_ref,output|lightoil|secondary|refinery_gas,GWyr/GWyr,1.0,1980.0,,,
R11_CPA,agg_ref,output|lightoil|secondary|refinery_gas_int,GWyr/GWyr,1.0,1980.0,,,
R11_CPA,agg_ref,input|heavy_foil|intermediate|heavy_foil,GWyr/GWyr,1.0,1980.0,,,
R11_CPA,agg_ref,input|pet_coke|intermediate|pet_coke,GWyr/GWyr,1.0,1980.0,,,
R11_CPA,agg_ref,input|atm_gasoil|desulfurized|atm_gasoil,GWyr/GWyr,1.0,1980.0,,,
R11_CPA,agg_ref,input|atm_residue|desulfurized|atm_residue,GWyr/GWyr,1.0,1980.0,,,
R11_CPA,agg_ref,input|vacuum_residue|desulfurized|vacuum_residue,GWyr/GWyr,1.0,1980.0,,,
R11_CPA,agg_ref,output|fueloil|secondary|heavy_foil,GWyr/GWyr,1.0,1980.0,,,
R11_CPA,gas_processing_petro,input|gas|final|M1,GWyr/Mt,1.3318112633181232,1980.0,Get 1 Mt of natural gas. Energy content of natural gas: 42-55 MJ/kg (world-nuclear.org). Representation of this part can be later improved. Other sources: https://www.eia.gov/conference/ngl_virtual/eia-ngl_workshop-anne-keller.pdf,https://www.ihrdc.com/els/po-demo/module14/mod_014_02.htm,
R11_CPA,gas_processing_petro,output|ethane|secondary_material|M1,Mt / Mt,0.4,1980.0,1 MPD of NGL has 40% ethane. Here we assume in 1 Mt natural gas 40% is ethane.,,
R11_CPA,gas_processing_petro,output|propane|secondary_material|M1,Mt / Mt,0.29,1980.0,1 MPD of NGL has 29% propane,,
R11_CPA,gas_processing_petro,inv_cost,2005MUSD/Mt,0.0,1980.0,240 new processing plants with over 32 bcfd processing capacity over next 25 years. Capital cost 20 billion dollars. 1bcf of natural gas = 293.07 GWh,https://www.ingaa.org/File.aspx?id=14900&v=b921584f,179342.81912171154
R11_CPA,gas_processing_petro,technical_lifetime,yr,25.0,1980.0,,,
R11_CPA,gas_processing_petro,capacity_factor,-,1.0,1980.0,,,
R11_CPA,agg_ref,output|fueloil|secondary|pet_coke,GWyr/GWyr,1.0,1980.0,,,
R11_CPA,agg_ref,output|fueloil|secondary|atm_gasoil,GWyr/GWyr,1.0,1980.0,,,
R11_CPA,agg_ref,output|fueloil|secondary|atm_residue,GWyr/GWyr,1.0,1980.0,,,
