tec,incmd,inlvl,outcmd,outlvl,value_low,value_mid,value_high,capacity_factor_low,capacity_factor_mid,capacity_factor,investment_low_high,Likely Units,investment_mid,investment_high,technical_lifetime_low,technical_lifetime_mid,technical_lifetime_high,fix_cost_low,Likely Units.1,fix_cost_mid,fix_cost_high,var_cost_low,var_cost_mid,var_cost_high,out_value_low,out_value_mid,out_value_high,recovery_rate_low,recovery_rate_mid,recovery_rate_high
urban_discharge,electr,final,,,0.0,0.01484018,0.02968037,,,,,,,,,,,,,,,,,,,,,,,
urban_recycle,urban_collected_wst,water_treat,freshwater_basin,water_supply_basin,1.0,1.0,1.0,0.95,0.9,0.85,2761.643835616438,USD/(m³/day),3704.1095890410957,5506.849315068493,40.0,30.0,25.0,172.60273972602738,USD/(m³/day)/yr,268.4931506849315,479.4520547945205,0.0,0.0,0.0,0.9,0.8,0.7,0.0,0.0,0.0
urban_recycle,electr,final,,,0.091324200913242,0.1141552511415525,0.17123287671232876,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
urban_sewerage,urban_collected_wst,final,urban_collected_wst,water_treat,1.0,1.0,1.0,1.0,1.0,1.0,1160.2739726027398,USD/(m³/day),2151.780821917808,3037.808219178082,50.0,40.0,30.0,290.06849315068496,USD/(m³/day)/yr,537.945205479452,759.4520547945204,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
urban_sewerage,electr,final,,,0.00197869,0.04303653,0.08409437,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
urban_t_d,freshwater_basin,water_supply_basin,urban_mw,final,1.0,1.0,1.0,1.0,1.0,1.0,1491.7808219178085,USD/(m³/day),2766.5753424657537,3905.7534246575347,50.0,40.0,30.0,372.9452054794521,USD/(m³/day)/yr,691.6438356164384,976.4383561643837,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
urban_t_d,electr,final,,,0.00228311,0.19178082,0.38127854,,,,,,,,,,,,,,,,,,,,,,,
urban_unconnected,freshwater_basin,water_supply_basin,urban_disconnected,final,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
urban_untreated,urban_uncollected_wst,final,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0,1.0,11.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"rural sewerage, recyling, treatment make sense only for a handful of basins in the global north. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,urban technologies need to be geo-matched against urban basins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"cost estimates need units, confirmation on whether they are const USD or nominal. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
