Variable,Unit,Definition
Capacity Additions|Electricity|Nuclear|2,GW/yr,"Newly installed capacity of nuclear power plants. The installed (available) capacity of nuclear power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Nuclear|1, ..., Capacity|Electricity|Nuclear|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Electricity|Ocean,GW/yr,Newly installed capacity of operating ocean power plants
Capacity Additions|Electricity|Oil,GW/yr,Newly installed capacity of operating oil plants
Capacity Additions|Electricity|Oil|w/ CCS,GW/yr,"Newly installed capacity of oil power plants with CCS, including plants held in an operating reserve. The installed (available) capacity of CCS oil power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|oil|w/ CCS|1, ..., Capacity|Electricity|oil|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Electricity|Oil|w/o CCS,GW/yr,Newly installed capacity of operating oil plants
Capacity Additions|Electricity|Oil|w/o CCS|1,GW/yr,Newly installed capacity of operating oil plants
Capacity Additions|Electricity|Oil|w/o CCS|2,GW/yr,Newly installed capacity of operating oil plants
Capacity Additions|Electricity|Oil|w/o CCS|3,GW/yr,Newly installed capacity of operating oil plants
Capacity Additions|Electricity|Other,GW/yr,Newly installed capacity of all others types of operating power plants
Capacity Additions|Electricity|Peak Demand,GW/yr,peak (maximum) electricity load
Capacity Additions|Electricity|Solar,GW/yr,Newly installed capacity of all operating solar facilities (both CSP and PV)
Capacity Additions|Electricity|Solar|CSP,GW/yr,"Newly installed capacity of concentrating solar power (CSP). The installed (available) capacity of CSP by technology type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Solar|CSP|1, ..., Capacity|Electricity|Solar|CSP|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Electricity|Solar|CSP|1,GW/yr,
Capacity Additions|Electricity|Solar|CSP|2,GW/yr,
Capacity Additions|Electricity|Solar|PV,GW/yr,"Newly installed capacity of solar PV power plants. The installed (available) capacity of solar PV power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Solar|PV|1, ..., Capacity|Electricity|Solar|PV|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Electricity|Solar|PV|Commercial,GW/yr,"Newly installed capacity of solar PV power plants. The installed (available) capacity of solar PV power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Solar|PV|1, ..., Capacity|Electricity|Solar|PV|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Electricity|Solar|PV|Residential,GW/yr,"Newly installed capacity of solar PV power plants. The installed (available) capacity of solar PV power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Solar|PV|1, ..., Capacity|Electricity|Solar|PV|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Electricity|Storage Capacity,GW/yr,Newly installed capacity of operating electricity storage
Capacity Additions|Electricity|Transmissions Grid,GW/yr,
Capacity Additions|Electricity|Wind,GW/yr,"Newly installed capacity of wind power plants (onshore + offshore). The installed (available) capacity of wind power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Wind|1, ..., Capacity|Electricity|Wind|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Electricity|Wind|Offshore,GW/yr,"Newly installed capacity of offshore wind power plants. The installed (available) capacity of offshore wind power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Wind|Offshore|1, ..., Capacity|Electricity|Wind|Offshore|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Electricity|Wind|Onshore,GW/yr,"Newly installed capacity of onshore wind power plants. The installed (available) capacity of onshore wind power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Wind|Onshore|1, ..., Capacity|Electricity|Wind|Onshore|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Gases,GW/yr,Newly installed capacity of all gas generation plants.
Capacity Additions|Gases|Biomass,GW/yr,Newly installed capacity of biomass to gas plants.
Capacity Additions|Gases|Biomass|w/ CCS,GW/yr,"Newly installed capacity of biomass to gas plants with CCS. The installed (available) capacity of CCS biomass to gas plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Gases|Biomass|w/ CCS|1, ..., Capacity|Gases|Biomass|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Gases|Biomass|w/o CCS,GW/yr,"Newly installed capacity of biomass to gas plants without CCS. The installed (available) capacity of biomass to gas plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Gases|Biomass|w/o CCS|1, ..., Capacity|Gases|Biomass|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Gases|Coal,GW/yr,Newly installed capacity of coal to gas plants.
Capacity Additions|Gases|Coal|w/ CCS,GW/yr,"Newly installed capacity of coal to gas plants with CCS. The installed (available) capacity of CCS coal to gas plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Gases|Coal|w/ CCS|1, ..., Capacity|Gases|Coal|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Gases|Coal|w/o CCS,GW/yr,"Newly installed capacity of coal to gas plants without CCS. The installed (available) capacity of coal to gas plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Gases|Coal|w/o CCS|1, ..., Capacity|Gases|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Gases|Other,GW/yr,Newly installed capacity of other gas production plants.
Capacity Additions|Hydrogen,GW/yr,Newly installed capacity of all hydrogen generation plants.
Capacity Additions|Hydrogen|Biomass,GW/yr,Newly installed capacity of biomass to hydrogen plants.
Capacity Additions|Hydrogen|Biomass|w/ CCS,GW/yr,"Newly installed capacity of biomass to hydrogen plants with CCS. The installed (available) capacity of CCS biomass to hydrogen plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Hydrogen|Biomass|w/ CCS|1, ..., Capacity|Hydrogen|Biomass|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Hydrogen|Biomass|w/o CCS,GW/yr,"Newly installed capacity of biomass to hydrogen plants without CCS. The installed (available) capacity of biomass to hydrogen plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Hydrogen|Biomass|w/o CCS|1, ..., Capacity|Hydrogen|Biomass|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Hydrogen|Coal,GW/yr,Newly installed capacity of coal to hydrogen plants.
Capacity Additions|Hydrogen|Coal|w/ CCS,GW/yr,"Newly installed capacity of coal to hydrogen plants with CCS. The installed (available) capacity of CCS coal to hydrogen plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Hydrogen|Coal|w/ CCS|1, ..., Capacity|Hydrogen|Coal|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Hydrogen|Coal|w/o CCS,GW/yr,"Newly installed capacity of coal to hydrogen plants without CCS. The installed (available) capacity of coal to hydrogen plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Hydrogen|Coal|w/o CCS|1, ..., Capacity|Hydrogen|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Hydrogen|Electricity,GW/yr,"Newly installed capacity of hydrogen-by-electrolysis plants. The installed (available) capacity of hydrogen-by-electrolysis plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Hydrogen|Electricity|w/ CCS|1, ..., Capacity|Hydrogen|Electricity|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Hydrogen|Gas,GW/yr,Newly installed capacity of gas to hydrogen plants.
Capacity Additions|Hydrogen|Gas|w/ CCS,GW/yr,"Newly installed capacity of gas to hydrogen plants with CCS. The installed (available) capacity of CCS gas to hydrogen plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Hydrogen|Gas|w/ CCS|1, ..., Capacity|Hydrogen|Gas|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Hydrogen|Gas|w/o CCS,GW/yr,"Newly installed capacity of gas to hydrogen plants without CCS. The installed (available) capacity of gas to hydrogen plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Hydrogen|Gas|w/o CCS|1, ..., Capacity|Hydrogen|Gas|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Hydrogen|Other,GW/yr,Newly installed capacity of other hydrogen production plants.
Capacity Additions|Liquids,GW/yr,Newly installed capacity of liquefaction plants.
Capacity Additions|Liquids|Biomass,GW/yr,Newly installed capacity of biomass to liquids plants.
Capacity Additions|Liquids|Biomass|w/ CCS,GW/yr,"Newly installed capacity of biomass to liquids plants with CCS. The installed (available) capacity of CCS biomass to liquids plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Liquids|Biomass|w/ CCS|1, ..., Capacity|Liquids|Biomass|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Liquids|Biomass|w/ CCS|1,GW/yr,"Newly installed capacity of biomass to liquids plants with CCS. The installed (available) capacity of CCS biomass to liquids plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Liquids|Biomass|w/ CCS|1, ..., Capacity|Liquids|Biomass|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Liquids|Biomass|w/ CCS|2,GW/yr,"Newly installed capacity of biomass to liquids plants with CCS. The installed (available) capacity of CCS biomass to liquids plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Liquids|Biomass|w/ CCS|1, ..., Capacity|Liquids|Biomass|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Liquids|Biomass|w/o CCS,GW/yr,"Newly installed capacity of biomass to liquids plants without CCS. The installed (available) capacity of biomass to liquids plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Liquids|Biomass|w/o CCS|1, ..., Capacity|Liquids|Biomass|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Liquids|Biomass|w/o CCS|1,GW/yr,"Newly installed capacity of biomass to liquids plants without CCS. The installed (available) capacity of biomass to liquids plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Liquids|Biomass|w/o CCS|1, ..., Capacity|Liquids|Biomass|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Liquids|Biomass|w/o CCS|2,GW/yr,"Newly installed capacity of biomass to liquids plants without CCS. The installed (available) capacity of biomass to liquids plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Liquids|Biomass|w/o CCS|1, ..., Capacity|Liquids|Biomass|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Liquids|Coal,GW/yr,Newly installed capacity of coal to liquids plants.
Capacity Additions|Liquids|Coal|w/ CCS,GW/yr,"Newly installed capacity of coal to liquids plants with CCS. The installed (available) capacity of CCS coal to liquids plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Liquids|Coal|w/ CCS|1, ..., Capacity|Liquids|Coal|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Liquids|Coal|w/ CCS|1,GW/yr,"Newly installed capacity of coal to liquids plants with CCS. The installed (available) capacity of CCS coal to liquids plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Liquids|Coal|w/ CCS|1, ..., Capacity|Liquids|Coal|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Liquids|Coal|w/ CCS|2,GW/yr,"Newly installed capacity of coal to liquids plants with CCS. The installed (available) capacity of CCS coal to liquids plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Liquids|Coal|w/ CCS|1, ..., Capacity|Liquids|Coal|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Liquids|Coal|w/o CCS,GW/yr,"Newly installed capacity of coal to liquids plants without CCS. The installed (available) capacity of coal to liquids plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Liquids|Coal|w/o CCS|1, ..., Capacity|Liquids|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Liquids|Coal|w/o CCS|1,GW/yr,"Newly installed capacity of coal to liquids plants without CCS. The installed (available) capacity of coal to liquids plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Liquids|Coal|w/o CCS|1, ..., Capacity|Liquids|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Liquids|Coal|w/o CCS|2,GW/yr,"Newly installed capacity of coal to liquids plants without CCS. The installed (available) capacity of coal to liquids plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Liquids|Coal|w/o CCS|1, ..., Capacity|Liquids|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Liquids|Gas,GW/yr,Newly installed capacity of gas to liquids plants.
Capacity Additions|Liquids|Gas|w/ CCS,GW/yr,"Newly installed capacity of gas to liquids plants with CCS. The installed (available) capacity of CCS gas to liquids plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Liquids|Gas|w/ CCS|1, ..., Capacity|Liquids|Gas|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Liquids|Gas|w/o CCS,GW/yr,"Newly installed capacity of gas to liquids plants without CCS. The installed (available) capacity of gas to liquids plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Liquids|Gas|w/o CCS|1, ..., Capacity|Liquids|Gas|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
