IAMC Parent,IAMC Child
Water Withdrawal|Electricity,Water Withdrawal|Electricity|Other
Water Withdrawal|Electricity,Water Withdrawal|Electricity|Solar
Water Withdrawal|Electricity,Water Withdrawal|Electricity|Wind
Water Withdrawal|Hydrogen|Fossil|w/ CCS,Water Withdrawal|Hydrogen|Coal|w/ CCS
Water Withdrawal|Hydrogen|Fossil|w/ CCS,Water Withdrawal|Hydrogen|Gas|w/ CCS
Water Withdrawal|Hydrogen|Fossil|w/o CCS,Water Withdrawal|Hydrogen|Coal|w/o CCS
Water Withdrawal|Hydrogen|Fossil|w/o CCS,Water Withdrawal|Hydrogen|Gas|w/o CCS
Water Withdrawal|Hydrogen|Fossil|w/o CCS,Water Withdrawal|Hydrogen|Oil
Water Withdrawal|Hydrogen|Fossil,Water Withdrawal|Hydrogen|Fossil|w/ CCS
Water Withdrawal|Hydrogen|Fossil,Water Withdrawal|Hydrogen|Fossil|w/o CCS
Water Withdrawal|Hydrogen,Water Withdrawal|Hydrogen|Biomass
Water Withdrawal|Hydrogen,Water Withdrawal|Hydrogen|Coal
Water Withdrawal|Hydrogen,Water Withdrawal|Hydrogen|Electricity
Water Withdrawal|Hydrogen,Water Withdrawal|Hydrogen|Gas
Water Withdrawal|Hydrogen,Water Withdrawal|Hydrogen|Oil
Water Withdrawal|Hydrogen,Water Withdrawal|Hydrogen|Other
Water Withdrawal|Hydrogen,Water Withdrawal|Hydrogen|Solar
Water Withdrawal|Liquids|Fossil|w/ CCS,Water Withdrawal|Liquids|Coal|w/ CCS
Water Withdrawal|Liquids|Fossil|w/ CCS,Water Withdrawal|Liquids|Gas|w/ CCS
Water Withdrawal|Liquids|Fossil|w/o CCS,Water Withdrawal|Liquids|Coal|w/o CCS
Water Withdrawal|Liquids|Fossil|w/o CCS,Water Withdrawal|Liquids|Gas|w/o CCS
Water Withdrawal|Liquids|Fossil|w/o CCS,Water Withdrawal|Liquids|Oil
Water Withdrawal|Liquids|Fossil,Water Withdrawal|Liquids|Fossil|w/ CCS
Water Withdrawal|Liquids|Fossil,Water Withdrawal|Liquids|Fossil|w/o CCS
Water Withdrawal|Liquids,Water Withdrawal|Liquids|Biomass
Water Withdrawal|Liquids,Water Withdrawal|Liquids|Coal
Water Withdrawal|Liquids,Water Withdrawal|Liquids|Gas
Water Withdrawal|Liquids,Water Withdrawal|Liquids|Oil
Water Withdrawal,Water Withdrawal|Electricity
Water Withdrawal,Water Withdrawal|Extraction
Water Withdrawal,Water Withdrawal|Gases
Water Withdrawal,Water Withdrawal|Heat
Water Withdrawal,Water Withdrawal|Hydrogen
Water Withdrawal,Water Withdrawal|Industrial Water
Water Withdrawal,Water Withdrawal|Irrigation
Water Withdrawal,Water Withdrawal|Liquids
Water Withdrawal,Water Withdrawal|Livestock
Water Withdrawal,Water Withdrawal|Municipal Water
Consumption,GDP|Consumption
