message_technology,reg_diff_source,reg_diff_technology,base_year_reference_region_cost,fix_ratio,first_year_original
csp_sm3_res4__ot_fresh,energy,csp_sm3_ppl,0.4,0,2015
csp_sm3_res4__ot_saline,energy,csp_sm3_ppl,0.3,0,2015
csp_sm3_res5__air,energy,csp_sm3_ppl,220,0,2015
csp_sm3_res5__cl_fresh,energy,csp_sm3_ppl,100,0,2015
csp_sm3_res5__ot_fresh,energy,csp_sm3_ppl,0.4,0,2015
csp_sm3_res5__ot_saline,energy,csp_sm3_ppl,0.3,0,2015
csp_sm3_res6__air,energy,csp_sm3_ppl,220,0,2015
csp_sm3_res6__cl_fresh,energy,csp_sm3_ppl,100,0,2015
csp_sm3_res6__ot_fresh,energy,csp_sm3_ppl,0.4,0,2015
csp_sm3_res6__ot_saline,energy,csp_sm3_ppl,0.3,0,2015
csp_sm3_res7__air,energy,csp_sm3_ppl,220,0,2015
csp_sm3_res7__cl_fresh,energy,csp_sm3_ppl,100,0,2015
csp_sm3_res7__ot_fresh,energy,csp_sm3_ppl,0.4,0,2015
csp_sm3_res7__ot_saline,energy,csp_sm3_ppl,0.3,0,2015
