Technology,Parameter,Region,Level,Commodity,Species,Mode,Units,Value,Comment,Source
bf_steel,output,R12_RCPA,tertiary_material,pig_iron,,M3,Mt,1.0,,
bf_steel,output,R12_RCPA,tertiary_material,pig_iron_dummy,,M2,Mt,1.0,,
bf_steel,output,R12_RCPA,tertiary_material,pig_iron_dummy,,M4,Mt,1.0,,
bf_steel,output,R12_RCPA,final,bf_gas,,M1,GWa,0.12644874429223746,Average value,"IEA ETSAP and Otto et al., 2017"
bf_steel,output,R12_RCPA,final,bf_gas,,M2,GWa,0.03281415525114155,"Average value. The specific reduction in blast furnace gas (BFG) output can vary depending on the design and operational parameters of the blast furnace, as well as the extent to which TGR is implemented.","IEA ETSAP and Otto et al., 2017"
bf_steel,output,R12_RCPA,final,bf_gas,,M3,GWa,0.12644874429223746,Assume same as M1 unless other data is found,
bf_steel,output,R12_RCPA,final,bf_gas,,M4,GWa,0.03281415525114155,Assume the same as M2 unless other data is found.,
bf_steel,output,R12_RCPA,waste_material,slag_iron,,M1,Mt,0.25,,IEA ETSAP
bf_steel,output,R12_RCPA,waste_material,slag_iron,,M2,Mt,0.195,22% less coke+coal is used. Decrease the slag by that %,IEA ETSAP
bf_steel,output,R12_RCPA,waste_material,slag_iron,,M4,Mt,0.195,Assume the same as M2 unless other data is found.,
bf_steel,output,R12_RCPA,waste_material,slag_iron,,M3,Mt,0.25,Assume same as M1 unless other data is found,
bf_steel,capacity_factor,R12_RCPA,,,,,%,0.87,,TNO
bf_steel,var_cost,R12_RCPA,,,,M1,MUSD/Mt,2.37,"https://www.exchangerates.org.uk/EUR-USD-spot-exchange-rates-history-2010.html, https://www.in2013dollars.com/us/inflation/2010?endYear=2005&amount=2.65","IEA ETSAP, variable O&M cost"
bf_steel,var_cost,R12_RCPA,,,,M2,MUSD/Mt,2.37,Assume same as M1 unless other data is found,
bf_steel,var_cost,R12_RCPA,,,,M3,MUSD/Mt,2.607,"Assumed 10% increase unless other data found.  Suopajarvi et al., 2017 mentions cost increase without quantifying.",
bf_steel,var_cost,R12_RCPA,,,,M4,MUSD/Mt,2.607,"Assumed 10% increase unless other data found.  Suopajarvi et al., 2017 mentions cost increase without quantifying.",
bf_steel,emission_factor,R12_RCPA,,,PM2p5,M1,Mt/Mt,6.6e-05,"Wu etal., 2015",
bf_steel,technical_lifetime,R12_RCPA,,,,,y,25.0,,https://energy.nl/data/steelmaking-with-top-gas-recycling-blast-furnace-tgr-bf-ulcos-blast-furnace-oxygen-blast-furnace-with-ccs/
bf_biomass_steel,input,R12_RCPA,final,charcoal,,M1,GWa/Mt,0.579,Mini-blast furnace. (640 kg/t --> 0.608 Gwa/Mt  or 586.7 -->0.55 Gwa/Mt),"Ershov et al., 2009; Nogami et al., 2004"
bf_biomass_steel,input,R12_RCPA,final,electr,,M1,GWa/Mt,0.017669345610110986,Use same as M1 unless other data is found,
bf_biomass_steel,input,R12_RCPA,final,off_gas,,M1,GWa,4.319339218866749e-07,Same amount that comes out of charcoal production,
bf_biomass_steel,input,R12_RCPA,primary_material,ore_iron,,M1,Mt/Mt,1.459,One of the most remarkable features of this system compared to the modern ironmaking systems is excluding sintering and/or pelletizing processes.,"Nogami et al., 2004"
# bf_biomass_steel,input,R12_RCPA,water_supply,freshwater_supply,,M1,Mm3/Mt,0.98,Use same as M1 unless other data is found,
# bf_biomass_steel,input,R12_RCPA,water_supply,water,,M1,Mm3/Mt,19.13,,
bf_biomass_steel,output,R12_RCPA,waste_material,slag_iron,,M1,Mt,0.135,,"Ershov et al., 2009"
bf_biomass_steel,output,R12_RCPA,tertiary_material,pig_iron,,M1,Mt,1.0,,
bf_biomass_steel,output,R12_RCPA,final,bf_gas,,M1,GWa,0.17233095110557953,"1739 Nm3/thm (coke + coal), 2370 Nm3/thm (charcoal). Apply the ratio","Exergy Analysis of Charcoal Charging Operation of Blast Furnace, Nogami et al., 2004"
bf_biomass_steel,inv_cost,R12_RCPA,,,,,MUSD/Mt,110.0,,"Ershov et al., 2009"
bf_biomass_steel,fix_cost,R12_RCPA,,,,,MUSD/Mt,11.89,,
bf_biomass_steel,var_cost,R12_RCPA,,,,M1,MUSD/Mt,2.607,"Assumed 10% increase unless other data found.  Suopajarvi et al., 2017 mentions cost increase without quantifying.",
bf_biomass_steel,technical_lifetime,R12_RCPA,,,,,y,25.0,,
bf_ccs_steel,input,R12_RCPA,final,electr,,M2,GWa/Mt,0.036773059360730595,Additional electricity needed for CCS and oxygen unit,"Average of IEA ETSAP, 2010, Otto et al., 2017 and Perpinan et al., 2023"
bf_ccs_steel,output,R12_RCPA,tertiary_material,pig_iron,,M2,Mt,1.0,,
bf_ccs_steel,input,R12_RCPA,tertiary_material,pig_iron_dummy,,M2,Mt,1.0,,
bf_ccs_steel,var_cost,R12_RCPA,,,,M2,MUSD/Mt,3.5511000000000004,Additional cost from TGR CCS. Converted from 2010 euro to 2005 USD,IEA ETSAP - Technology Brief
bf_ccs_steel,emission_factor,R12_RCPA,,,CO2,M2,MtC/Mt,-0.2136818181818184,Range between 0.7 -  0.867,"Otto et al., 2017; Fan & Friedmann, 2021; TNO"
bf_ccs_steel,technical_lifetime,R12_RCPA,,,,,y,25.0,,TNO
bf_ccs_steel,capacity_factor,R12_RCPA,,,,,%,0.9,,
bf_ccs_steel,growth_new_capacity_up,R12_RCPA,,,,M2,,0.001,,Same as CCS cement
bof_steel,input,R12_RCPA,final,bf_gas,,M1,GWa/Mt,0.12036704115994547,Keep the share coming out BF. It is assumed that blast furnace gas is enough to perform downstream activities in M1 of blast furnace. ,
bof_steel,input,R12_RCPA,final,bf_gas,,M2,GWa/Mt,0.03123591932723895,Keep the share coming out BF in M2. Even though there is less bf_gas the calorific value of M2 bf_gas is higher. The rest is penalized by increased electricity.,
bof_steel,input,R12_RCPA,final,electr,,M1,GWa/Mt,0.030422476341427765,,
bof_steel,input,R12_RCPA,final,electr,,M2,GWa/Mt,0.06596585533686158,M1 + penalty due to decrease of blast furnace gas,
# bof_steel,input,R12_RCPA,new_scrap,steel,,M1,Mt/Mt,0.17,,
# bof_steel,input,R12_RCPA,new_scrap,steel,,M2,Mt/Mt,0.17,,
# bof_steel,input,R12_RCPA,water_supply,freshwater_supply,,M1,Mm3/Mt,0.77,,
# bof_steel,input,R12_RCPA,water_supply,water,,M1,Mm3/Mt,10.84,,
# bof_steel,input,R12_RCPA,water_supply,freshwater_supply,,M2,Mm3/Mt,0.8,,
# bof_steel,input,R12_RCPA,water_supply,water,,M2,Mm3/Mt,10.84,,
bof_steel,output,R12_RCPA,final_material,steel,,M1,Mt,1.0,,
bof_steel,output,R12_RCPA,final_material,steel,,M2,Mt,1.0,,
bof_steel,output,R12_RCPA,waste_material,slag_iron,,M1,Mt,0.085,,
bof_steel,output,R12_RCPA,waste_material,slag_iron,,M2,Mt,0.085,,
bof_steel,emission_factor,R12_RCPA,,,PM2p5,M2,Mt/Mt,0.00018449999999999999,"Wu etal., 2015",
bof_steel,emission_factor,R12_RCPA,,,PM2p5,M1,Mt/Mt,0.00018449999999999999,"Wu etal., 2015",
bof_steel,capacity_factor,R12_RCPA,,,,,%,0.798,,
bof_steel,technical_lifetime,R12_RCPA,,,,,y,30.0,,
cokeoven_steel,input,R12_RCPA,dummy_emission,coal,,M1,GWa/GWa,1.1302552821066614,,
cokeoven_steel,input,R12_RCPA,final,coal,,M1,GWa/GWa,1.3333333333333333,"IEA balance 2018 ""Coke ovens"" EJ share",
# cokeoven_steel,input,R12_RCPA,water_supply,freshwater_supply,,M1,Mm3/GWa,0.02537,,
# cokeoven_steel,input,R12_RCPA,water_supply,water,,M1,Mm3/GWa,0.5073570776255708,,
cokeoven_steel,output,R12_RCPA,final,coke_iron,,M1,GWa,1.0,,
cokeoven_steel,output,R12_RCPA,final,co_gas,,M1,GWa,0.06666666666666667,"ratio derived from IEA balance 2018 (world), FE COG output ~1.3EJ, coal input to CO  ~26EJ ",
cokeoven_steel,var_cost,R12_RCPA,,,,M1,MUSD/GWa,322.94898696281075,,
cokeoven_steel,capacity_factor,R12_RCPA,,,,,%,0.701,,
cokeoven_steel,technical_lifetime,R12_RCPA,,,,,y,30.0,,
dri_steel,var_cost,R12_RCPA,,,,M1,MUSD/Mt,14.689999999999998,Variable O&M cost. Convert from 2000 USD to 2005 USD. https://www.in2013dollars.com/us/inflation/2000?endYear=2005&amount=145,IEA ETSAP - Technology Brief
dri_steel,input,R12_RCPA,secondary_material,pellet_iron,,M1,Mt/Mt,1.45,"https://2024.aisusteel.org/wp-content/uploads/2024/10/Dr-John-Atherton_IIMA.pdf Slide 10",
dri_steel,capacity_factor,R12_RCPA,,,,,%,0.95,,
dri_steel,technical_lifetime,R12_RCPA,,,,,y,30.0,,
dri_gas_steel,input,R12_RCPA,final,electr,,M1,GWa/Mt,0.014700913242009133,,
dri_gas_steel,input,R12_RCPA,final,gas,,M1,GWa/Mt,0.33,, http://www.iipinetwork.org/wp-content/Ietd/content/direct-reduced-iron.html 
dri_gas_steel,input,R12_RCPA,dummy_emission,gas,,M1,GWa/Mt,0.33,"Important: This assumes all gas is turned into emissions. We cant directly deduct reduced emissions as this is energy units. In reporting, CO2_Emission should be used to deduct from this amount. ", http://www.iipinetwork.org/wp-content/Ietd/content/direct-reduced-iron.html 
dri_gas_steel,output,R12_RCPA,waste_material,slag_iron,,M1,Mt,0.085,,
dri_gas_steel,output,R12_RCPA,tertiary_material,sponge_iron,,M1,Mt/Mt,1.0,,
# dri_gas_steel,output,R12_RCPA,water_supply,water,,M1,Mm3/Mt,690.0,,
dri_h2_steel,input,R12_RCPA,final,hydrogen,,M1,Gwa/Mt,0.22656164383561642,"Average: 664 Nm3/Tdri (standard conditions, 0C, 1atmosphere)-->59.6 kg H2 (https://h2tools.org/hyarc/calculator-tools/hydrogen-conversions-calculator). 59.6 kg-->1984.68 kWh (https://stargatehydrogen.com/documents-and-tools/hydrogen-calculators/)","Wang et al.,2021: Hydrogen direct reduction (H-DR) in steel industry—An overview of challenges and oppurtunities (800 Nm3/tDRI), PBL (528 Nm3/t-DRI, https://www.pbl.nl/sites/default/files/downloads/pbl-2019-decarbonisation-options-for-the-dutch-steel-industry_3723.pdf)
"
dri_h2_steel,input,R12_RCPA,useful_steel,ht_heat,,M1,Gwa/Mt,0.0,1606 MJ/t DRI. We can assume that heat is recovered from DRI furnace.,"Devlin et al., 2023"
dri_h2_steel,input,R12_RCPA,final,electr,,M1,Gwa/Mt,6.8493150684931506e-09,0.06 MWh/ tDRI. To bring the hydrogen to the right pressure,"Devlin et al., 2023"
dri_h2_steel,output,R12_RCPA,tertiary_material,sponge_iron,,M1,Mt/Mt,1.0,,
# dri_h2_steel,output,R12_RCPA,water_supply,water,,M1,Mm3/Mt,690.0,for now assume same as natural gas as used by Jihoon. If necessary we can later find a more specific number for water vapour which is the result of this process,
dri_h2_steel,var_cost,R12_RCPA,,,,M1,MUSD/Mt,6.0,It is not specified if this is fixed or variable but just as maintenece. 3% of CAPEX.,"Toktarova et al., 2021"
dri_h2_steel,technical_lifetime,R12_RCPA,,,,,y,30.0,average,"20 y (Pimm et al., 2021; IEA ETSAP), 40 y (Toktarova et al., 2021) (Lopez at al., 2022)​"
dri_gas_ccs_steel,input,R12_RCPA,final,electr,,M1,GWa/Mt,0.005139100698630137,0.34 GJ/tCO2 converted,"Gielen, 2003"
dri_gas_ccs_steel,output,R12_RCPA,dummy_ccs,gas,,M1,GWa/Mt,0.33,To be used in the materials_tables.py. This will keep track of how much gas is used as input in CCS technology which needs to be deducted from _inp_nonccs_gas_tecs,Same as CCS cement
dri_gas_ccs_steel,emission_factor,R12_RCPA,,,CO2,M1,MtC/Mt,-0.13,"0.5 t/DRI (midrex tehcnical boruchure), 85% capture rate (IEA, CCS Working Group)",
dri_gas_ccs_steel,technical_lifetime,R12_RCPA,,,,,y,25.0,,Figure 2.11 of IEA Iron and Steel Technology Roadmap
dri_gas_ccs_steel,capacity_factor,R12_RCPA,,,,,%,0.9,,
dri_gas_ccs_steel,growth_new_capacity_up,R12_RCPA,,,,M1,,0.001,,
DUMMY_coal_supply,output,R12_RCPA,dummy_emission,coal,,M1,Mt,1.0,,
DUMMY_coal_supply,emission_factor,R12_RCPA,,,CO2_industry,M1,MtC/Gwa,0.814,,
DUMMY_gas_supply,output,R12_RCPA,dummy_emission,gas,,M1,Mt,1.0,,
DUMMY_gas_supply,emission_factor,R12_RCPA,,,CO2_industry,M1,MtC/Gwa,0.482,,
DUMMY_limestone_supply_steel,output,R12_RCPA,primary_material,limestone_iron,,M1,Mt/Mt,1.0,,
DUMMY_limestone_supply_steel,emission_factor,R12_RCPA,,,CO2,M1,MtC/Mt,0.12,,
DUMMY_limestone_supply_steel,emission_factor,R12_RCPA,,,NOx,M1,kt/Mt,1.75,,
DUMMY_limestone_supply_steel,emission_factor,R12_RCPA,,,SO2,M1,kt/Mt,0.9790000000000001,,
DUMMY_limestone_supply_steel,emission_factor,R12_RCPA,,,PM2p5,M1,Mt/Mt,0.000332,,
DUMMY_ore_supply,output,R12_RCPA,primary_material,ore_iron,,M1,Mt/Mt,1.0,,
# DUMMY_water_supply,output,R12_RCPA,water_supply,water,,M1,Mt/Mt,1.0,,
# DUMMY_water_supply,var_cost,R12_RCPA,,,,M1,MUSD/Mt,0.1,,
eaf_steel,input,R12_RCPA,tertiary_material,pig_iron,,M1,Mt/Mt,1.05,,
eaf_steel,input,R12_RCPA,final,gas,,M1,Mt/Mt,0.002,IEA ESTAP 2010: http://www.iea-etsap.org/web/e-techds/pdf/i02-iron&steel-gs-ad-gct.pdf,
eaf_steel,input,R12_RCPA,final,electr,,M1,GWa/Mt,0.0796461187214612,IEA ESTAP 2010,
eaf_steel,input,R12_RCPA,primary_material,limestone_iron,,M1,Mt/Mt,0.012,IEA ESTAP 2010: http://www.iea-etsap.org/web/e-techds/pdf/i02-iron&steel-gs-ad-gct.pdf,
eaf_steel,input,R12_RCPA,new_scrap,steel,,M2,Mt/Mt,1.02,,
eaf_steel,input,R12_RCPA,final,gas,,M2,Mt/Mt,0.002,IEA ESTAP 2010: http://www.iea-etsap.org/web/e-techds/pdf/i02-iron&steel-gs-ad-gct.pdf,
eaf_steel,input,R12_RCPA,final,electr,,M2,GWa/Mt,0.0796461187214612,IEA ESTAP 2010,
eaf_steel,input,R12_RCPA,primary_material,limestone_iron,,M2,Mt/Mt,0.012,IEA ESTAP 2010: http://www.iea-etsap.org/web/e-techds/pdf/i02-iron&steel-gs-ad-gct.pdf,
eaf_steel,input,R12_RCPA,tertiary_material,sponge_iron,,M3,Mt/Mt,1.05,,
eaf_steel,input,R12_RCPA,final,gas,,M3,Mt/Mt,0.002,IEA ESTAP 2010: http://www.iea-etsap.org/web/e-techds/pdf/i02-iron&steel-gs-ad-gct.pdf,
eaf_steel,input,R12_RCPA,final,electr,,M3,GWa/Mt,0.0796461187214612,IEA ESTAP 2010,
eaf_steel,input,R12_RCPA,primary_material,limestone_iron,,M3,Mt/Mt,0.012,IEA ESTAP 2010: http://www.iea-etsap.org/web/e-techds/pdf/i02-iron&steel-gs-ad-gct.pdf,
eaf_steel,input,R12_RCPA,dummy_emission,gas,,M1,Mt/Mt,0.002,,
eaf_steel,input,R12_RCPA,dummy_emission,gas,,M2,Mt/Mt,0.002,,
eaf_steel,input,R12_RCPA,dummy_emission,gas,,M3,Mt/Mt,0.002,,
eaf_steel,output,R12_RCPA,final_material,steel,,M1,Mt,1.0,,
eaf_steel,output,R12_RCPA,waste_material,slag_iron,,M1,Mt,0.09,From China,
eaf_steel,output,R12_RCPA,final_material,steel,,M2,Mt,1.0,,
eaf_steel,output,R12_RCPA,waste_material,slag_iron,,M2,Mt,0.09,From China,
eaf_steel,output,R12_RCPA,final_material,steel,,M3,Mt,1.0,,
eaf_steel,output,R12_RCPA,waste_material,slag_iron,,M3,Mt,0.09,From China,
eaf_steel,var_cost,R12_RCPA,,,,M1,MUSD/Mt,42.2674,Variable O&M cost,IEA ESTAP 2010
eaf_steel,var_cost,R12_RCPA,,,,M2,MUSD/Mt,42.2674,Variable O&M cost,IEA ESTAP 2010
eaf_steel,var_cost,R12_RCPA,,,,M3,MUSD/Mt,42.2674,Variable O&M cost,IEA ESTAP 2010
eaf_steel,emission_factor,R12_RCPA,,,PM2p5,M1,Mt/Mt,0.000762,"Wu etal., 2015",
eaf_steel,emission_factor,R12_RCPA,,,NOx,M1,kt/Mt,0.18000000000000002,IEA ESTAP 2010: http://www.iea-etsap.org/web/e-techds/pdf/i02-iron&steel-gs-ad-gct.pdf,
eaf_steel,emission_factor,R12_RCPA,,,SO2,M1,kt/Mt,0.08,IEA ESTAP 2010: http://www.iea-etsap.org/web/e-techds/pdf/i02-iron&steel-gs-ad-gct.pdf,
eaf_steel,emission_factor,R12_RCPA,,,PM2p5,M2,Mt/Mt,0.000762,"Wu etal., 2015",
eaf_steel,emission_factor,R12_RCPA,,,NOx,M2,kt/Mt,0.18000000000000002,IEA ESTAP 2010: http://www.iea-etsap.org/web/e-techds/pdf/i02-iron&steel-gs-ad-gct.pdf,
eaf_steel,emission_factor,R12_RCPA,,,SO2,M2,kt/Mt,0.08,IEA ESTAP 2010: http://www.iea-etsap.org/web/e-techds/pdf/i02-iron&steel-gs-ad-gct.pdf,
eaf_steel,emission_factor,R12_RCPA,,,PM2p5,M3,Mt/Mt,0.000762,"Wu etal., 2015",
eaf_steel,emission_factor,R12_RCPA,,,NOx,M3,kt/Mt,0.18000000000000002,IEA ESTAP 2010: http://www.iea-etsap.org/web/e-techds/pdf/i02-iron&steel-gs-ad-gct.pdf,
eaf_steel,emission_factor,R12_RCPA,,,SO2,M3,kt/Mt,0.08,IEA ESTAP 2010: http://www.iea-etsap.org/web/e-techds/pdf/i02-iron&steel-gs-ad-gct.pdf,
eaf_steel,capacity_factor,R12_RCPA,,,,,%,0.811,,
eaf_steel,technical_lifetime,R12_RCPA,,,,,y,30.0,,
export_steel,input,R12_RCPA,useful_material,steel,,M1,,1.0,,
export_steel,output,R12_RCPA,export,steel,,M1,,1.0,,
export_steel,technical_lifetime,R12_RCPA,,,,,y,30.0,existing MESSAGE value for coal_exp,
finishing_steel,input,R12_RCPA,final,coal,,M1,GWa/Mt,0.0,Assumed recovered heat,
# finishing_steel,input,R12_RCPA,final,coke_iron,,M1,GWa/Mt,0.0,Assumed recovered heat,
finishing_steel,input,R12_RCPA,final,electr,,M1,GWa/Mt,0.011004,set as similar to other stages,
# finishing_steel,input,R12_RCPA,water_supply,freshwater_supply,,M1,Mm3/Mt,0.76,,
finishing_steel,input,R12_RCPA,final_material,steel,,M1,Mt/Mt,1.0,,
# finishing_steel,output,R12_RCPA,useful_material,steel,,M1,Mt,1.0,,
# finishing_steel,output,R12_RCPA,new_scrap,steel,,M1,Mt,0.049,,
# finishing_steel,inv_cost,R12_RCPA,,,,,MUSD/Mt,228.92,,
# finishing_steel,fix_cost,R12_RCPA,,,,,MUSD/Mt,22.89,,
finishing_steel,var_cost,R12_RCPA,,,,M1,MUSD/Mt,150,Arbitrary Assumption,
finishing_steel,emission_factor,R12_RCPA,,,PM2p5,M1,Mt/Mt,1.2e-05,"Wu etal., 2015",
# finishing_steel,input,R12_RCPA,water_supply,water,,M1,Mm3/Mt,17.72,,
# finishing_steel,capacity_factor,R12_RCPA,,,,,%,0.7997,,
finishing_steel,technical_lifetime,R12_RCPA,,,,,y,30.0,,
# finishing_steel,input,R12_RCPA,dummy_emission,coal,,M1,GWa/Mt,0.0,,
import_steel,input,R12_RCPA,import,steel,,M1,,1.0,,
import_steel,output,R12_RCPA,useful_material,steel,,M1,,1.0,,
manuf_steel,input,R12_RCPA,useful_material,steel,,M1,Mt/Mt,1.0,Arbitrary,
# manuf_steel,output,R12_RCPA,product,steel,,M1,Mt,0.95,,
# manuf_steel,output,R12_RCPA,new_scrap,steel,,M1,Mt,0.05,,
# manuf_steel,inv_cost,R12_RCPA,,,,,MUSD/Mt,228.92,Arbitrary,
# manuf_steel,var_cost,R12_RCPA,,,,M1,MUSD/Mt,0.91,Arbitrary,
manuf_steel,technical_lifetime,R12_RCPA,,,,,y,30.0,,
other_EOL_steel,input,R12_RCPA,product,steel,,M1,,1.0,,
other_EOL_steel,output,R12_RCPA,demand,steel,,M1,Mt,1.0,Dummy  duplicate output for demand specification,
pellet_steel,input,R12_RCPA,final,coke_iron,,M1,GWa/Mt,0.0,Assumed recovered gas COG,
pellet_steel,input,R12_RCPA,final,electr,,M1,GWa/Mt,0.004027932854615403,China_steel_eet.xlsx,
# pellet_steel,input,R12_RCPA,water_supply,freshwater_supply,,M1,Mm3/Mt,0.83,,
pellet_steel,input,R12_RCPA,primary_material,ore_iron,,M1,Mt/Mt,1.1857707509881423,,
pellet_steel,output,R12_RCPA,secondary_material,pellet_iron,,M1,Mt,1.0,,
pellet_steel,var_cost,R12_RCPA,,,,M1,MUSD/Mt,1.76,,
# pellet_steel,input,R12_RCPA,water_supply,water,,M1,Mm3/Mt,0.9,,
pellet_steel,capacity_factor,R12_RCPA,,,,,%,0.867,,
pellet_steel,emission_factor,R12_RCPA,,,PM2p5,M1,Mt/Mt,0.000103,"Wu etal., 2015",
pellet_steel,technical_lifetime,R12_RCPA,,,,,y,30.0,,
prep_secondary_steel_1,input,R12_RCPA,useful_steel,ht_heat,,M1,GWa/Mt,0.0,Assumed recovered heat,
