Region,technology,parameter,Unit,value,availability,Description,Source
all,furnace_gas_petro,emission_factor|PM2p5,kt / Gwa,0.0007955993173515983,1980,,fromGAINS_abated EF
all,furnace_gas_refining,emission_factor|PM2p5,kt / Gwa,0.0007955993173515983,1980,,fromGAINS_abated EF
all,furnace_gas_resins,emission_factor|PM2p5,kt / Gwa,0.0007955993173515983,1980,,fromGAINS_abated EF
all,furnace_gas_steel,emission_factor|PM2p5,kt / Gwa,0.0007955993173515983,1980,,fromGAINS_abated EF
all,dheat_aluminum,fix_cost,MUS2005/GW,7.5,1980,,
all,dheat_cement,fix_cost,MUS2005/GW,7.5,1980,,
all,dheat_petro,fix_cost,MUS2005/GW,7.5,1980,,
all,dheat_refining,fix_cost,MUS2005/GW,7.5,1980,,
all,dheat_resins,fix_cost,MUS2005/GW,7.5,1980,,
all,dheat_steel,fix_cost,MUS2005/GW,7.5,1980,,MESSAGE global model
all,fc_h2_aluminum,fix_cost,MUS2005/GW,0.0,2030,,
all,fc_h2_cement,fix_cost,MUS2005/GW,0.0,2030,,
all,fc_h2_petro,fix_cost,MUS2005/GW,0.0,2030,,
all,fc_h2_refining,fix_cost,MUS2005/GW,0.0,2030,,
all,fc_h2_resins,fix_cost,MUS2005/GW,0.0,2030,,
all,fc_h2_steel,fix_cost,MUS2005/GW,0.0,2030,,MESSAGE global model
all,furnace_biomass_aluminum,fix_cost,MUS2005/GW,41.17,1980,,
all,furnace_biomass_cement,fix_cost,MUS2005/GW,41.17,1980,,
all,furnace_biomass_petro,fix_cost,MUS2005/GW,41.17,1980,,
all,furnace_biomass_refining,fix_cost,MUS2005/GW,41.17,1980,,
all,furnace_biomass_resins,fix_cost,MUS2005/GW,41.17,1980,,
all,furnace_biomass_steel,fix_cost,MUS2005/GW,41.17,1980,,MESSAGE global model
all,furnace_coal_aluminum,fix_cost,MUS2005/GW,37.5,1980,,
all,furnace_coal_cement,fix_cost,MUS2005/GW,37.5,1980,,
all,furnace_coal_petro,fix_cost,MUS2005/GW,37.5,1980,,
all,furnace_coal_refining,fix_cost,MUS2005/GW,37.5,1980,,
all,furnace_coal_resins,fix_cost,MUS2005/GW,37.5,1980,,
all,furnace_coal_steel,fix_cost,MUS2005/GW,37.5,1980,,MESSAGE global model
all,furnace_coke_petro,fix_cost,MUS2005/GW,37.5,1980,,
all,furnace_coke_refining,fix_cost,MUS2005/GW,37.5,1980,,
all,furnace_elec_aluminum,fix_cost,MUS2005/GW,7.5,1980,,
all,furnace_elec_cement,fix_cost,MUS2005/GW,7.5,1980,,
all,furnace_elec_petro,fix_cost,MUS2005/GW,7.5,1980,,
all,furnace_elec_refining,fix_cost,MUS2005/GW,7.5,1980,,
all,furnace_elec_resins,fix_cost,MUS2005/GW,7.5,1980,,
all,furnace_elec_steel,fix_cost,MUS2005/GW,7.5,1980,,MESSAGE global model
all,furnace_ethanol_aluminum,fix_cost,MUS2005/GW,9.5,1980,,
all,furnace_gas_aluminum,fix_cost,MUS2005/GW,11.25,1980,,
all,furnace_gas_cement,fix_cost,MUS2005/GW,11.25,1980,,
all,furnace_gas_petro,fix_cost,MUS2005/GW,11.25,1980,,
all,furnace_gas_refining,fix_cost,MUS2005/GW,11.25,1980,,
all,furnace_gas_resins,fix_cost,MUS2005/GW,11.25,1980,,
all,furnace_gas_steel,fix_cost,MUS2005/GW,11.25,1980,,MESSAGE global model
all,furnace_ethanol_cement,fix_cost,MUS2005/GW,9.5,1980,,
all,furnace_ethanol_petro,fix_cost,MUS2005/GW,9.5,1980,,
all,furnace_ethanol_refining,fix_cost,MUS2005/GW,9.5,1980,,
all,furnace_ethanol_resins,fix_cost,MUS2005/GW,9.5,1980,,
all,furnace_ethanol_steel,fix_cost,MUS2005/GW,9.5,1980,,MESSAGE global model
all,furnace_foil_aluminum,fix_cost,MUS2005/GW,18.75,1980,,
all,furnace_foil_cement,fix_cost,MUS2005/GW,18.75,1980,,
all,furnace_foil_petro,fix_cost,MUS2005/GW,18.75,1980,,
all,furnace_foil_refining,fix_cost,MUS2005/GW,18.75,1980,,
all,furnace_foil_resins,fix_cost,MUS2005/GW,18.75,1980,,
all,furnace_foil_steel,fix_cost,MUS2005/GW,18.75,1980,,MESSAGE global model
all,furnace_h2_aluminum,fix_cost,MUS2005/GW,11.25,2030,,
all,furnace_h2_cement,fix_cost,MUS2005/GW,11.25,2030,,
all,furnace_h2_petro,fix_cost,MUS2005/GW,11.25,2030,,
all,furnace_h2_refining,fix_cost,MUS2005/GW,11.25,2030,,
all,furnace_h2_resins,fix_cost,MUS2005/GW,11.25,2030,,
all,furnace_h2_steel,fix_cost,MUS2005/GW,11.25,2030,,MESSAGE global model
all,furnace_loil_aluminum,fix_cost,MUS2005/GW,11.25,1980,,
all,furnace_loil_cement,fix_cost,MUS2005/GW,11.25,1980,,
all,furnace_loil_petro,fix_cost,MUS2005/GW,11.25,1980,,
all,furnace_loil_refining,fix_cost,MUS2005/GW,11.25,1980,,
all,furnace_loil_resins,fix_cost,MUS2005/GW,11.25,1980,,
all,furnace_loil_steel,fix_cost,MUS2005/GW,11.25,1980,,MESSAGE global model
all,furnace_methanol_aluminum,fix_cost,MUS2005/GW,9.5,2020,,
all,furnace_methanol_cement,fix_cost,MUS2005/GW,9.5,2020,,
all,furnace_methanol_petro,fix_cost,MUS2005/GW,9.5,2020,,
all,furnace_methanol_refining,fix_cost,MUS2005/GW,9.5,2020,,
all,furnace_methanol_resins,fix_cost,MUS2005/GW,9.5,2020,,
all,furnace_methanol_steel,fix_cost,MUS2005/GW,9.5,2020,,MESSAGE global model
all,hp_elec_aluminum,fix_cost,MUS2005/GW,67.5,1980,,
all,hp_elec_cement,fix_cost,MUS2005/GW,67.5,1980,,
all,hp_elec_petro,fix_cost,MUS2005/GW,67.5,1980,,
all,hp_elec_refining,fix_cost,MUS2005/GW,67.5,1980,,
all,hp_elec_resins,fix_cost,MUS2005/GW,67.5,1980,,
all,hp_elec_steel,fix_cost,MUS2005/GW,67.5,1980,,MESSAGE global model
all,solar_aluminum,fix_cost,MUS2005/GW,22.67,1980,,
all,solar_cement,fix_cost,MUS2005/GW,22.67,1980,,
all,solar_petro,fix_cost,MUS2005/GW,22.67,1980,,
all,solar_refining,fix_cost,MUS2005/GW,22.67,1980,,
all,solar_resins,fix_cost,MUS2005/GW,22.67,1980,,
all,solar_steel,fix_cost,MUS2005/GW,22.67,1980,,MESSAGE global model
all,dheat_resins,input|d_heat|final|low_temp,GWa,1.0,1980,Same values with petro furnaces assumed,
all,fc_h2_aluminum,input|hydrogen|final|low_temp,GWa,2.564,2030,,MESSAGE Global model
all,dheat_steel,input|d_heat|final|low_temp,GWa,1.0,1980,,MESSAGE Global model
all,dheat_petro,input|d_heat|final|low_temp,GWa,1.0,1980,,
all,furnace_biomass_resins,input|biomass|final|high_temp,GWa,2.105653409090909,1980,Same values with petro furnaces assumed,
all,furnace_biomass_steel,input|biomass|final|high_temp,GWa,2.105653409090909,1980, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,fc_h2_refining,input|hydrogen|secondary|low_temp,GWa,2.564,2030,,MESSAGE Global model
all,furnace_biomass_refining,input|biomass|primary|high_temp,GWa,2.105653409090909,1980, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,fc_h2_petro,input|hydrogen|final|low_temp,GWa,2.564,2030,,MESSAGE Global model
all,fc_h2_resins,input|hydrogen|final|low_temp,GWa,2.564,2030,Same values with petro furnaces assumed,
all,furnace_biomass_resins,input|biomass|final|low_temp,GWa,2.105653409090909,1980,Same values with petro furnaces assumed,
all,furnace_biomass_steel,input|biomass|final|low_temp,GWa,2.105653409090909,1980, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,furnace_biomass_refining,input|biomass|primary|low_temp,GWa,2.105653409090909,1980, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,furnace_coal_refining,input|coal|secondary|high_temp,GWa,2.183465909090909,1980, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,furnace_biomass_cement,input|biomass|final|high_temp,GWa,1.1,1980,Efficiency of boilers are used to match the base year values,MESSAGE model biomass_i
all,furnace_biomass_petro,input|biomass|final|high_temp,GWa,1.3787672924901186,1980, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,furnace_coal_resins,input|coal|final|high_temp,GWa,2.183465909090909,1980,Same values with petro furnaces assumed,
all,furnace_coal_steel,input|coal|final|high_temp,GWa,2.183465909090909,1980, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,furnace_coal_refining,input|coal|secondary|low_temp,GWa,2.183465909090909,1980, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,furnace_coke_refining,input|pet_coke|intermediate|high_temp,GWa,2.183465909090909,1980,,
all,furnace_biomass_petro,input|biomass|final|low_temp,GWa,1.3787672924901186,1980, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,furnace_coal_resins,input|coal|final|low_temp,GWa,2.183465909090909,1980,Same values with petro furnaces assumed,
all,furnace_coal_steel,input|coal|final|low_temp,GWa,2.183465909090909,1980, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,furnace_coke_refining,input|pet_coke|intermediate|low_temp,GWa,2.183465909090909,1980,,
all,furnace_elec_refining,input|electr|secondary|high_temp,GWa,1.3251704545454548,1980, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,furnace_coal_cement,input|coal|final|high_temp,GWa,1.0,1980,Efficiency from MESSAGE model used to match base year values,MESSAGE model coal_i
all,furnace_coal_petro,input|coal|final|high_temp,GWa,1.4297183794466404,1980, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,furnace_elec_resins,input|electr|final|high_temp,GWa,1.3251704545454548,1980,Same values with petro furnaces assumed,
all,furnace_elec_steel,input|electr|final|high_temp,GWa,1.3251704545454548,1980, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,furnace_elec_refining,input|electr|secondary|low_temp,GWa,1.3251704545454548,1980, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,furnace_elec_steel,input|electr|final|low_temp,GWa,1.3251704545454548,1980, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,hp_elec_aluminum,input|electr|final|low_temp,GWa,0.333,1980,,MESSAGE Global model
all,furnace_coal_petro,input|coal|final|low_temp,GWa,1.4297183794466404,1980, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,furnace_ethanol_refining,input|ethanol|secondary|high_temp,GWa,1.4925852272727271,1980,,
all,furnace_elec_resins,input|electr|final|low_temp,GWa,1.3251704545454548,1980,Same values with petro furnaces assumed,
all,furnace_ethanol_steel,input|ethanol|final|low_temp,GWa,1.4925852272727271,1980, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,fc_h2_steel,input|hydrogen|final|low_temp,GWa,2.564,2030,,MESSAGE Global model
all,furnace_elec_cement,input|electr|final|high_temp,GWa,1.0,1980,Value from the model is directly used to match tha base year values,MESSAGE Global model
all,furnace_coke_petro,input|pet_coke|intermediate|high_temp,GWa,2.183465909090909,1980,,
all,furnace_coke_petro,input|pet_coke|intermediate|low_temp,GWa,2.183465909090909,1980,,
all,furnace_ethanol_resins,input|ethanol|final|low_temp,GWa,1.4925852272727271,1980,Same values with petro furnaces assumed,
all,furnace_ethanol_steel,input|ethanol|final|high_temp,GWa,1.4925852272727271,1980, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,furnace_ethanol_refining,input|ethanol|secondary|low_temp,GWa,1.4925852272727271,1980,,
all,dheat_aluminum,input|d_heat|final|low_temp,GWa,1.0,1980,,
all,furnace_elec_petro,input|electr|final|high_temp,GWa,0.8677124505928855,1980, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,furnace_ethanol_resins,input|ethanol|final|high_temp,GWa,1.4925852272727271,1980,Same values with petro furnaces assumed,
all,furnace_foil_steel,input|fueloil|final|low_temp,GWa,1.8710369318181819,1980, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,furnace_foil_refining,input|fueloil|secondary|high_temp,GWa,1.8710369318181819,1980,,
all,furnace_h2_aluminum,input|hydrogen|final|high_temp,GWa,1.05,2030, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,furnace_ethanol_cement,input|ethanol|final|high_temp,GWa,1.05,1980,,
all,furnace_elec_petro,input|electr|final|low_temp,GWa,0.8677124505928855,1980, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,furnace_foil_resins,input|fueloil|final|low_temp,GWa,1.8710369318181819,1980,Same values with petro furnaces assumed,
all,furnace_foil_resins,input|fueloil|final|high_temp,GWa,1.8710369318181819,1980,Same values with petro furnaces assumed,
all,furnace_foil_steel,input|fueloil|final|high_temp,GWa,1.8710369318181819,1980, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,furnace_foil_refining,input|fueloil|secondary|low_temp,GWa,1.8710369318181819,1980,,
all,furnace_elec_aluminum,input|electr|final|high_temp,GWa,1.05,1980, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,furnace_elec_aluminum,input|electr|final|low_temp,GWa,1.05,1980, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,furnace_foil_cement,input|fueloil|final|high_temp,GWa,1.05,1980,,
all,furnace_ethanol_petro,input|ethanol|final|low_temp,GWa,0.9773344861660078,1980,,
all,furnace_ethanol_petro,input|ethanol|final|high_temp,GWa,0.9773344861660078,1980,,
all,furnace_gas_refining,input|gas|secondary|high_temp,GWa,1.66,1980,The efficiency is used as a basis of calcualtion for other furnaces. 60% efficiency chosen. ,
all,furnace_gas_refining,input|gas|secondary|low_temp,GWa,1.66,1980,The efficiency is used as a basis of calcualtion for other furnaces. 60% efficiency chosen,
all,furnace_ethanol_aluminum,input|ethanol|final|high_temp,GWa,1.1,1980,,
all,furnace_gas_cement,input|gas|final|high_temp,GWa,1.05,1980,Same efficiency assumed as gas_i to match the base year values,MESSAGE model gas_i technology
all,furnace_foil_petro,input|fueloil|final|low_temp,GWa,1.2251420454545454,1980,,
all,furnace_gas_resins,input|gas|final|high_temp,GWa,1.66,1980,Same values with petro furnaces assumed,
all,furnace_gas_steel,input|gas|final|high_temp,GWa,1.66,1980,The efficiency is used as a basis of calcualtion for other furnaces. 60% efficiency chosen. ,JRC report for aluminum. Furnace efficiencies between: 20% - 60%. https://publications.jrc.ec.europa.eu/repository/handle/JRC96680
all,furnace_ethanol_aluminum,input|ethanol|final|low_temp,GWa,1.1,1980,,
all,furnace_methanol_aluminum,input|methanol|final|high_temp,GWa,1.1,2020,,
all,furnace_foil_petro,input|fueloil|final|high_temp,GWa,1.2251420454545454,1980,,
all,furnace_gas_resins,input|gas|final|low_temp,GWa,1.66,1980,Same values with petro furnaces assumed,
all,furnace_gas_steel,input|gas|final|low_temp,GWa,1.66,1980,The efficiency is used as a basis of calcualtion for other furnaces. 60% efficiency chosen,JRC report for aluminum. Furnace efficiencies between: 20% - 60%. https://publications.jrc.ec.europa.eu/repository/handle/JRC96680
all,furnace_methanol_aluminum,input|methanol|final|low_temp,GWa,1.1,2020,,
all,furnace_h2_aluminum,input|hydrogen|final|low_temp,GWa,1.05,2030, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,furnace_gas_petro,input|gas|final|high_temp,GWa,1.0869565217391304,1980,The efficiency is used as a basis of calcualtion for other furnaces. 60% efficiency chosen. ,
all,furnace_h2_cement,input|hydrogen|final|high_temp,GWa,1.05,2030,Value from the model is directly used to match the base year values,Value from h2_i technology in MESSAGE
all,furnace_h2_petro,input|hydrogen|final|high_temp,GWa,0.847198532488012,2030, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,furnace_gas_petro,input|gas|final|low_temp,GWa,1.0869565217391304,1980,The efficiency is used as a basis of calcualtion for other furnaces. 60% efficiency chosen,
all,furnace_h2_petro,input|hydrogen|final|low_temp,GWa,0.847198532488012,2030, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,furnace_h2_resins,input|hydrogen|final|high_temp,GWa,1.293841598815692,2030,Same values with petro furnaces assumed,
all,furnace_h2_refining,input|hydrogen|secondary|low_temp,GWa,1.293841598815692,2030, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,furnace_h2_refining,input|hydrogen|secondary|high_temp,GWa,1.293841598815692,2030, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,furnace_foil_aluminum,input|fueloil|final|high_temp,GWa,1.15,1980,,
all,furnace_h2_resins,input|hydrogen|final|low_temp,GWa,1.293841598815692,2030,Same values with petro furnaces assumed,
all,furnace_loil_resins,input|lightoil|final|low_temp,GWa,1.8710369318181819,1980,Same values with petro furnaces assumed,
all,furnace_loil_steel,input|lightoil|final|low_temp,GWa,1.8710369318181819,1980, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,furnace_foil_aluminum,input|fueloil|final|low_temp,GWa,1.15,1980,,
all,furnace_loil_aluminum,input|lightoil|final|high_temp,GWa,1.15,1980,,
all,furnace_loil_cement,input|lightoil|final|high_temp,GWa,1.05,1980,,
all,furnace_h2_steel,input|hydrogen|final|high_temp,GWa,1.293841598815692,2030, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,furnace_loil_resins,input|lightoil|final|high_temp,GWa,1.8710369318181819,1980,Same values with petro furnaces assumed,
all,furnace_loil_steel,input|lightoil|final|high_temp,GWa,1.8710369318181819,1980, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,furnace_loil_aluminum,input|lightoil|final|low_temp,GWa,1.15,1980,,
all,furnace_biomass_aluminum,input|biomass|final|high_temp,GWa,1.2,1980, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,furnace_loil_petro,input|lightoil|final|low_temp,GWa,1.2251420454545454,1980,,
all,furnace_methanol_resins,input|methanol|final|low_temp,GWa,1.4925852272727271,2020,Same values with petro furnaces assumed,
all,furnace_methanol_steel,input|methanol|final|low_temp,GWa,1.4925852272727271,2020, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,furnace_biomass_aluminum,input|biomass|final|low_temp,GWa,1.2,1980, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,furnace_methanol_cement,input|methanol|final|high_temp,GWa,1.05,2020,,
all,furnace_loil_petro,input|lightoil|final|high_temp,GWa,1.2251420454545454,1980,,
all,furnace_methanol_resins,input|methanol|final|high_temp,GWa,1.4925852272727271,2020,Same values with petro furnaces assumed,
all,furnace_methanol_steel,input|methanol|final|high_temp,GWa,1.4925852272727271,2020, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,furnace_loil_refining,input|lightoil|secondary|high_temp,GWa,1.8710369318181819,1980,,
all,furnace_loil_refining,input|lightoil|secondary|low_temp,GWa,1.8710369318181819,1980,,
all,furnace_coal_aluminum,input|coal|final|high_temp,GWa,1.15,1980, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,furnace_methanol_petro,input|methanol|final|low_temp,GWa,0.9773344861660078,2020,,
all,hp_elec_resins,input|electr|final|low_temp,GWa,0.333,1980,Same values with petro furnaces assumed,
all,hp_elec_steel,input|electr|final|low_temp,GWa,0.333,1980,,MESSAGE Global model
all,furnace_coal_aluminum,input|coal|final|low_temp,GWa,1.15,1980, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,furnace_methanol_petro,input|methanol|final|high_temp,GWa,0.9773344861660078,2020,,
all,furnace_methanol_refining,input|methanol|secondary|high_temp,GWa,1.4925852272727271,2020,,
all,furnace_methanol_refining,input|methanol|secondary|low_temp,GWa,1.4925852272727271,2020,,
all,hp_elec_petro,input|electr|final|low_temp,GWa,0.333,1980,,MESSAGE Global model
all,hp_elec_refining,input|electr|secondary|low_temp,GWa,0.333,1980,,MESSAGE Global model
all,furnace_gas_aluminum,input|gas|final|high_temp,GWa,1.05,1980,The efficiency is used as a basis of calcualtion for other furnaces. 40% efficiency chosen,JRC report for aluminum. Furnace efficiencies between: 20% - 60%. https://publications.jrc.ec.europa.eu/repository/handle/JRC96680
