technology,parameter,region,commodity,level,mode,units,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2070,2080,2090,2100,2110
furnace_biomass_steel,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_methanol_steel,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_gas_steel,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_elec_steel,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_h2_steel,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
hp_elec_steel,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
fc_h2_steel,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
solar_steel,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
dheat_steel,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_coal_cement,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_loil_cement,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_foil_cement,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_ethanol_cement,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_biomass_cement,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_methanol_cement,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_gas_cement,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_elec_cement,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_h2_cement,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_coal_aluminum,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_loil_aluminum,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_foil_aluminum,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_ethanol_aluminum,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_biomass_aluminum,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_methanol_aluminum,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_gas_aluminum,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_elec_aluminum,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_h2_aluminum,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
hp_elec_aluminum,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
fc_h2_aluminum,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
solar_aluminum,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
dheat_aluminum,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_coal_petro,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_coke_petro,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_loil_petro,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_foil_petro,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_ethanol_petro,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_biomass_petro,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_methanol_petro,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_gas_petro,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_elec_petro,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_h2_petro,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
hp_elec_petro,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
fc_h2_petro,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
solar_petro,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
dheat_petro,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_coal_refining,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_coke_refining,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_loil_refining,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_foil_refining,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_ethanol_refining,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_biomass_refining,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_methanol_refining,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_gas_refining,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_elec_refining,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_h2_refining,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
hp_elec_refining,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
fc_h2_refining,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
solar_refining,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
dheat_refining,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_coal_cement,bound_activity_up,R12_CHN,,,low_temp,Gwa,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
furnace_loil_cement,bound_activity_up,R12_CHN,,,low_temp,Gwa,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
furnace_foil_cement,bound_activity_up,R12_CHN,,,low_temp,Gwa,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
furnace_ethanol_cement,bound_activity_up,R12_CHN,,,low_temp,Gwa,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
furnace_biomass_cement,bound_activity_up,R12_CHN,,,low_temp,Gwa,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
furnace_methanol_cement,bound_activity_up,R12_CHN,,,low_temp,Gwa,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
furnace_gas_cement,bound_activity_up,R12_CHN,,,low_temp,Gwa,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
furnace_elec_cement,bound_activity_up,R12_CHN,,,low_temp,Gwa,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
furnace_h2_cement,bound_activity_up,R12_CHN,,,low_temp,Gwa,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
furnace_coal_petro,bound_activity_up,R12_CHN,,,low_temp,Gwa,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
furnace_loil_petro,bound_activity_up,R12_CHN,,,low_temp,Gwa,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
furnace_foil_petro,bound_activity_up,R12_CHN,,,low_temp,Gwa,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
furnace_ethanol_petro,bound_activity_up,R12_CHN,,,low_temp,Gwa,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
furnace_biomass_petro,bound_activity_up,R12_CHN,,,low_temp,Gwa,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
furnace_methanol_petro,bound_activity_up,R12_CHN,,,low_temp,Gwa,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
furnace_gas_petro,bound_activity_up,R12_CHN,,,low_temp,Gwa,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
furnace_elec_petro,bound_activity_up,R12_CHN,,,low_temp,Gwa,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
furnace_h2_petro,bound_activity_up,R12_CHN,,,low_temp,Gwa,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
furnace_coal_refining,bound_activity_up,R12_CHN,,,low_temp,Gwa,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
furnace_loil_refining,bound_activity_up,R12_CHN,,,low_temp,Gwa,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
furnace_foil_refining,bound_activity_up,R12_CHN,,,low_temp,Gwa,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
furnace_ethanol_refining,bound_activity_up,R12_CHN,,,low_temp,Gwa,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
furnace_biomass_refining,bound_activity_up,R12_CHN,,,low_temp,Gwa,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
furnace_methanol_refining,bound_activity_up,R12_CHN,,,low_temp,Gwa,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
furnace_gas_refining,bound_activity_up,R12_CHN,,,low_temp,Gwa,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
furnace_elec_refining,bound_activity_up,R12_CHN,,,low_temp,Gwa,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
furnace_h2_refining,bound_activity_up,R12_CHN,,,low_temp,Gwa,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
furnace_elec_cement,bound_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,0.0,0.0,,,,,,,,,,,,
