technology,include,technology shares,share basis,input commodity,input level,input basis,input,output commodity,output level,output,IEA flow,IEA product,unit,output or input
heat_i,y,,model,d_heat,final,model,1,i_therm,useful,1,TOTIND,"HEATNS, HEAT",TJ,output
hp_el_i,y,,model,electr,final,model,0.333333333,i_therm,useful,1,THEAT,ELECTR,TJ,input
hp_gas_i,y,,model,gas,final,model,0.5,i_therm,useful,1,THEAT,NATGAS,TJ,input
heat_rc,y,,model,d_heat,final,model,1.5625,rc_therm,useful,1,"RESIDENT, COMMPUB, AGRICULT, FISHING, ONONSPEC",HEAT,TJ,input
"hydro_lc,hydro_hc",y,"0.9,0.1",model,hydro,renewable,model,1,electr,secondary,1,ELOUTPUT,HYDRO,GWh,output
LNG_imp,y,,model,LNG,import,model,1,LNG,secondary,1,IMPORTS,('LNG' ),TJ,output
LNG_prod,y,,model,gas,primary,model,1,LNG,primary,1,INDPROD,('LNG' ),TJ,output
loil_exp,y,,model,lightoil,secondary,model,1,lightoil,export,1,EXPORTS,"OTHKERO, ONONSPEC, REFINGAS, ETHANE, LPG, NONBIOGASO, AVGAS, JETGAS, NONBIOJETK, NONBIODIES, NAPHTHA, WHITESP, LUBRIC",TJ,input
loil_fs,y,,model,lightoil,final,model,1,i_feed,useful,1,NEINTREN,"OTHKERO, ONONSPEC, REFINGAS, ETHANE, LPG, NONBIOGASO, AVGAS, JETGAS, NONBIOJETK, NONBIODIES, NAPHTHA, WHITESP, LUBRIC",TJ,input
loil_i,y,,model,lightoil,final,model,1.369863014,i_therm,useful,1,TOTIND,"REFINGAS, ETHANE, LPG, AVGAS, JETGAS, NONBIOJETK, NAPHTHA, WHITESP, LUBRIC, ONONSPEC, OTHKERO",TJ,input
loil_imp,y,,model,,,model,1,lightoil,secondary,1,IMPORTS,"OTHKERO, ONONSPEC, REFINGAS, ETHANE, LPG, NONBIOGASO, AVGAS, JETGAS, NONBIOJETK, NONBIODIES, NAPHTHA, WHITESP, LUBRIC",TJ,output
"loil_ppl,loil_cc",y,,model,lightoil,secondary,model,2.5,electr,secondary,1,ELOUTPUT,"OTHKERO, ONONSPEC, REFINGAS, ETHANE, LPG, NONBIOGASO, AVGAS, JETGAS, NONBIOJETK, NONBIODIES, NAPHTHA, WHITESP, LUBRIC",GWh,output
loil_rc,y,,model,lightoil,final,model,1.449275362,rc_therm,useful,1,"RESIDENT, COMMPUB, AGRICULT, FISHING, ONONSPEC","OTHKERO, ONONSPEC, REFINGAS, ETHANE, LPG, NONBIOGASO, AVGAS, JETGAS, NONBIOJETK, NONBIODIES, NAPHTHA, WHITESP, LUBRIC",TJ,input
loil_trp,y,,model,lightoil,final,model,1,transport,useful,1,"DOMESAIR, ROAD, RAIL, DOMESNAV, TRNONSPE, AVBUNK","OTHKERO, ONONSPEC, REFINGAS, ETHANE, LPG, NONBIOGASO, AVGAS, JETGAS, NONBIOJETK, NONBIODIES, NAPHTHA, WHITESP, LUBRIC",TJ,input
meth_coal,y,,model,coal,primary,model,1.923076923,lightoil,secondary,0,"TCOALLIQ, ECOALLIQ","REFINGAS, ETHANE, LPG, NONBIOGASO, AVGAS, JETGAS, NONBIOJETK, NONBIODIES, RESFUEL, NAPHTHA, WHITESP, LUBRIC, BITUMEN, PARWAX, PETCOKE, ONONSPEC, OTHKERO",TJ,output
meth_imp,y,,model,methanol,import,model,1,methanol,secondary,1,IMPORTS,('methanol' ),TJ,output
meth_ng,y,,model,gas,primary,model,1.666666667,lightoil,secondary,0,"EGTL, TGTL","REFINGAS, ETHANE, LPG, NONBIOGASO, AVGAS, JETGAS, NONBIOJETK, NONBIODIES, RESFUEL, NAPHTHA, WHITESP, LUBRIC, BITUMEN, PARWAX, PETCOKE, ONONSPEC, OTHKERO",TJ,output
"nuc_lc,nuc_hc",y,,model,u5,stocks,model,0.967,electr,secondary,1,ELOUTPUT,NUCLEAR,GWh,output
oil_exp,y,,model,crudeoil,primary,model,1,crudeoil,export,1,EXPORTS,"CRNGFEED, CRUDEOIL, NGL, REFFEEDS, ADDITIVE, NONCRUDE",TJ,input
oil_imp,y,,model,,,model,,crudeoil,secondary,1,IMPORTS,"CRNGFEED, CRUDEOIL, NGL, REFFEEDS, ADDITIVE, NONCRUDE",TJ,output
"ref_lol,ref_hil",y,,model,crudeoil,secondary,model,1.092082143,lightoil,secondary,0.675365448,TREFINER,"REFINGAS, ETHANE, LPG, NONBIOGASO, AVGAS, JETGAS, NONBIOJETK, NONBIODIES, RESFUEL, NAPHTHA, WHITESP, LUBRIC, BITUMEN, PARWAX, PETCOKE, ONONSPEC, OTHKERO",TJ,output
solar_rc,y,,model,,,model,,rc_therm,useful,1,TFC,SOLARTH,TJ,output
sp_el_I,y,,model,electr,final,model,1.234567901,i_spec,useful,1,"MINING, CONSTRUC, CHEMICAL, NONFERR, NONMET, TRANSEQ, MACHINE, FOODPRO, PAPERPRO, WOODPRO, TEXTILES, NONENUSE, INONSPEC",ELECTR,TJ,input
"sp_el_RC,elec_rc",y,,pfu,electr,final,model,1.754385965,rc_spec,useful,1,"RESIDENT, COMMPUB, AGRICULT, FISHING, ONONSPEC",ELECTR,TJ,input
sp_liq_I,y,,model,lightoil,final,model,,i_spec,useful,1,TOTIND,"NONBIOGASO, NONBIODIES",TJ,input
syn_liq,y,,model,coal,primary,model,2.272727273,lightoil,secondary,1,"TCOALLIQ, ECOALLIQ","REFINGAS, ETHANE, LPG, NONBIOGASO, AVGAS, JETGAS, NONBIOJETK, NONBIODIES, RESFUEL, NAPHTHA, WHITESP, LUBRIC, BITUMEN, PARWAX, PETCOKE, ONONSPEC, OTHKERO",TJ,output
