"utype","cooling","investment_million_USD_per_MW_low","investment_million_USD_per_MW_mid","investment_million_USD_per_MW_high","mix_AFR","mix_CPA","mix_EEU","mix_FSU","mix_LAM","mix_MEA","mix_NAM","mix_PAO","mix_PAS","mix_SAS","mix_WEU","utype_pl"
"loil_ppl","ot_saline",2e-04,3e-04,5e-04,0,1,0,0,0.4079898,0,0.115075986,0.006879945,0,0,0.518803806,"loil_ppl"
"loil_ppl","air",0.16,0.22,0.35,0,0,0,0,0,0,0,0,0,0,0,"0"
"mw_ppl","ot_fresh",2e-04,4e-04,6e-04,0,0,0,0,0,0,0,0,0,0,0,"0"
"mw_ppl","cl_fresh",0.05,0.1,0.15,0,0,0,0,0,0,0,0,0,0,0,"0"
"mw_ppl","ot_saline",2e-04,3e-04,5e-04,0,0,0,0,0,0,0,0,0,0,0,"0"
"mw_ppl","air",0.16,0.22,0.35,0,0,0,0,0,0,0,0,0,0,0,"0"
"nuc_fbr","ot_fresh",2e-04,4e-04,6e-04,0,0,0,0.06993007,0,0,0,0,0,0.108695652,0,"0"
"nuc_fbr","cl_fresh",0.05,0.1,0.15,0,0.000493425,1,0.582750583,0,0,0,0,0,0.262541806,1,"0"
"nuc_fbr","ot_saline",2e-04,3e-04,5e-04,0,0.999506575,0,0.347319347,1,1,1,0,0,0.628762542,0,"0"
"nuc_hc","ot_fresh",2e-04,4e-04,6e-04,0,0,0,0.06993007,0,0,0,0,0,0.108695652,0,"nuc_hc"
"nuc_hc","cl_fresh",0.05,0.1,0.15,0,0.000493425,1,0.582750583,0,0,0,0,0,0.262541806,1,"nuc_hc"
"nuc_hc","ot_saline",2e-04,3e-04,5e-04,0,0.999506575,0,0.347319347,1,1,1,0,0,0.628762542,0,"nuc_hc"
"nuc_htemp","ot_fresh",2e-04,4e-04,6e-04,0,0,0,0.06993007,0,0,0,0,0,0.108695652,0,"0"
"nuc_htemp","cl_fresh",0.05,0.1,0.15,0,0.000493425,1,0.582750583,0,0,0,0,0,0.262541806,1,"0"
"nuc_htemp","ot_saline",2e-04,3e-04,0.001,0,0.999506575,0,0.347319347,1,1,1,0,0,0.628762542,0,"0"
"nuc_lc","ot_fresh",4e-04,8e-04,6e-04,0,0,0.562029494,0.364149483,0.307088989,0,0.235882316,0,0,0,0.161568636,"nuc_lc"
"nuc_lc","cl_fresh",0.11,0.16,0.2,0,0,0.437970506,0.461058765,0,0,0.579233538,0,0,0.651376147,0.479978771,"nuc_lc"
"nuc_lc","ot_saline",4e-04,6e-04,0.001,1,1,0,0.174791752,0.692911011,0,0.184884146,1,1,0.348623853,0.358452594,"nuc_lc"
"solar_th_ppl","ot_fresh",2e-04,4e-04,6e-04,0,0,0,0,0,0,0,0,0,0,0,"0"
"solar_th_ppl","cl_fresh",0.05,0.1,0.15,1,1,0,0,0,1,0.983695408,1,1,1,0.999377627,"solar_th_ppl"
"solar_th_ppl","ot_saline",2e-04,3e-04,5e-04,0,0,0,0,0,0,0,0,0,0,0,"0"
"solar_th_ppl","air",0.16,0.22,0.35,0,0,0,0,0,0,0.016304592,0,0,0,0.000622373,"solar_th_ppl"
"csp_sm1_res1","ot_fresh",2e-04,4e-04,6e-04,0,0,0,0,0,0,0,0,0,0,0,"0"
"csp_sm1_res1","cl_fresh",0.05,0.1,0.15,1,1,0,0,0,1,0.983695408,1,1,1,0.999377627,"solar_th_ppl"
"csp_sm1_res1","ot_saline",2e-04,3e-04,5e-04,0,0,0,0,0,0,0,0,0,0,0,"0"
"csp_sm1_res1","air",0.16,0.22,0.35,0,0,0,0,0,0,0.016304592,0,0,0,0.000622373,"solar_th_ppl"
"csp_sm1_res2","ot_fresh",2e-04,4e-04,6e-04,0,0,0,0,0,0,0,0,0,0,0,"0"
"csp_sm1_res2","cl_fresh",0.05,0.1,0.15,1,1,0,0,0,1,0.983695408,1,1,1,0.999377627,"solar_th_ppl"
"csp_sm1_res2","ot_saline",2e-04,3e-04,5e-04,0,0,0,0,0,0,0,0,0,0,0,"0"
"csp_sm1_res2","air",0.16,0.22,0.35,0,0,0,0,0,0,0.016304592,0,0,0,0.000622373,"solar_th_ppl"
"csp_sm1_res3","ot_fresh",2e-04,4e-04,6e-04,0,0,0,0,0,0,0,0,0,0,0,"0"
"csp_sm1_res3","cl_fresh",0.05,0.1,0.15,1,1,0,0,0,1,0.983695408,1,1,1,0.999377627,"solar_th_ppl"
"csp_sm1_res3","ot_saline",2e-04,3e-04,5e-04,0,0,0,0,0,0,0,0,0,0,0,"0"
"csp_sm1_res3","air",0.16,0.22,0.35,0,0,0,0,0,0,0.016304592,0,0,0,0.000622373,"solar_th_ppl"
"csp_sm1_res4","ot_fresh",2e-04,4e-04,6e-04,0,0,0,0,0,0,0,0,0,0,0,"0"
"csp_sm1_res4","cl_fresh",0.05,0.1,0.15,1,1,0,0,0,1,0.983695408,1,1,1,0.999377627,"solar_th_ppl"
"csp_sm1_res4","ot_saline",2e-04,3e-04,5e-04,0,0,0,0,0,0,0,0,0,0,0,"0"
"csp_sm1_res4","air",0.16,0.22,0.35,0,0,0,0,0,0,0.016304592,0,0,0,0.000622373,"solar_th_ppl"
"csp_sm1_res5","ot_fresh",2e-04,4e-04,6e-04,0,0,0,0,0,0,0,0,0,0,0,"0"
"csp_sm1_res5","cl_fresh",0.05,0.1,0.15,1,1,0,0,0,1,0.983695408,1,1,1,0.999377627,"solar_th_ppl"
"csp_sm1_res5","ot_saline",2e-04,3e-04,5e-04,0,0,0,0,0,0,0,0,0,0,0,"0"
"csp_sm1_res5","air",0.16,0.22,0.35,0,0,0,0,0,0,0.016304592,0,0,0,0.000622373,"solar_th_ppl"
"csp_sm1_res6","ot_fresh",2e-04,4e-04,6e-04,0,0,0,0,0,0,0,0,0,0,0,"0"
"csp_sm1_res6","cl_fresh",0.05,0.1,0.15,1,1,0,0,0,1,0.983695408,1,1,1,0.999377627,"solar_th_ppl"
"csp_sm1_res6","ot_saline",2e-04,3e-04,5e-04,0,0,0,0,0,0,0,0,0,0,0,"0"
"csp_sm1_res6","air",0.16,0.22,0.35,0,0,0,0,0,0,0.016304592,0,0,0,0.000622373,"solar_th_ppl"
"csp_sm1_res7","ot_fresh",2e-04,4e-04,6e-04,0,0,0,0,0,0,0,0,0,0,0,"0"
"csp_sm1_res7","cl_fresh",0.05,0.1,0.15,1,1,0,0,0,1,0.983695408,1,1,1,0.999377627,"solar_th_ppl"
"csp_sm1_res7","ot_saline",2e-04,3e-04,5e-04,0,0,0,0,0,0,0,0,0,0,0,"0"
"csp_sm1_res7","air",0.16,0.22,0.35,0,0,0,0,0,0,0.016304592,0,0,0,0.000622373,"solar_th_ppl"
"csp_sm3_res1","ot_fresh",2e-04,4e-04,6e-04,0,0,0,0,0,0,0,0,0,0,0,"0"
"csp_sm3_res1","cl_fresh",0.05,0.1,0.15,1,1,0,0,0,1,0.983695408,1,1,1,0.999377627,"solar_th_ppl"
"csp_sm3_res1","ot_saline",2e-04,3e-04,5e-04,0,0,0,0,0,0,0,0,0,0,0,"0"
"csp_sm3_res1","air",0.16,0.22,0.35,0,0,0,0,0,0,0.016304592,0,0,0,0.000622373,"solar_th_ppl"
"csp_sm3_res2","ot_fresh",2e-04,4e-04,6e-04,0,0,0,0,0,0,0,0,0,0,0,"0"
"csp_sm3_res2","cl_fresh",0.05,0.1,0.15,1,1,0,0,0,1,0.983695408,1,1,1,0.999377627,"solar_th_ppl"
"csp_sm3_res2","ot_saline",2e-04,3e-04,5e-04,0,0,0,0,0,0,0,0,0,0,0,"0"
"csp_sm3_res2","air",0.16,0.22,0.35,0,0,0,0,0,0,0.016304592,0,0,0,0.000622373,"solar_th_ppl"
"csp_sm3_res3","ot_fresh",2e-04,4e-04,6e-04,0,0,0,0,0,0,0,0,0,0,0,"0"
"csp_sm3_res3","cl_fresh",0.05,0.1,0.15,1,1,0,0,0,1,0.983695408,1,1,1,0.999377627,"solar_th_ppl"
"csp_sm3_res3","ot_saline",2e-04,3e-04,5e-04,0,0,0,0,0,0,0,0,0,0,0,"0"
"csp_sm3_res3","air",0.16,0.22,0.35,0,0,0,0,0,0,0.016304592,0,0,0,0.000622373,"solar_th_ppl"
"csp_sm3_res4","ot_fresh",2e-04,4e-04,6e-04,0,0,0,0,0,0,0,0,0,0,0,"0"
"csp_sm3_res4","cl_fresh",0.05,0.1,0.15,1,1,0,0,0,1,0.983695408,1,1,1,0.999377627,"solar_th_ppl"
"csp_sm3_res4","ot_saline",2e-04,3e-04,5e-04,0,0,0,0,0,0,0,0,0,0,0,"0"
"csp_sm3_res4","air",0.16,0.22,0.35,0,0,0,0,0,0,0.016304592,0,0,0,0.000622373,"solar_th_ppl"
"csp_sm3_res5","ot_fresh",2e-04,4e-04,6e-04,0,0,0,0,0,0,0,0,0,0,0,"0"
"csp_sm3_res5","cl_fresh",0.05,0.1,0.15,1,1,0,0,0,1,0.983695408,1,1,1,0.999377627,"solar_th_ppl"
"csp_sm3_res5","ot_saline",2e-04,3e-04,5e-04,0,0,0,0,0,0,0,0,0,0,0,"0"
"csp_sm3_res5","air",0.16,0.22,0.35,0,0,0,0,0,0,0.016304592,0,0,0,0.000622373,"solar_th_ppl"
"csp_sm3_res6","ot_fresh",2e-04,4e-04,6e-04,0,0,0,0,0,0,0,0,0,0,0,"0"
"csp_sm3_res6","cl_fresh",0.05,0.1,0.15,1,1,0,0,0,1,0.983695408,1,1,1,0.999377627,"solar_th_ppl"
"csp_sm3_res6","ot_saline",2e-04,3e-04,5e-04,0,0,0,0,0,0,0,0,0,0,0,"0"
"csp_sm3_res6","air",0.16,0.22,0.35,0,0,0,0,0,0,0.016304592,0,0,0,0.000622373,"solar_th_ppl"
"csp_sm3_res7","ot_fresh",2e-04,4e-04,6e-04,0,0,0,0,0,0,0,0,0,0,0,"0"
"csp_sm3_res7","cl_fresh",0.05,0.1,0.15,1,1,0,0,0,1,0.983695408,1,1,1,0.999377627,"solar_th_ppl"
"csp_sm3_res7","ot_saline",2e-04,3e-04,5e-04,0,0,0,0,0,0,0,0,0,0,0,"0"
"csp_sm3_res7","air",0.16,0.22,0.35,0,0,0,0,0,0,0.016304592,0,0,0,0.000622373,"solar_th_ppl"
