value,node_loc,technology,year_vtg,year_act,mode,node_dest,commodity,level,time,time_dest,unit
,R12_RCPA,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
,R12_CHN,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
,R12_EEU,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
,R12_FSU,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
,R12_LAM,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
,R12_MEA,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
,R12_NAM,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
,R12_PAO,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
,R12_PAS,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
,R12_SAS,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
,R12_WEU,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
